in0initial;in5initial;in6initial;in7initial;in3initial;in4initial;in2initial;in1initial;in0final;in5final;in6final;in7final;in3final;in4final;in2final;in1final;in0time;in5time;in6time;in7time;in3time;in4time;in2time;in1time;in0count;in5count;in6count;in7count;in3count;in4count;in2count;in1count
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;154660;15475176;3388478;5571542;6113422;2015666;7193052;1031040;1.58340191841;2.94273281097;3.87960290909;8.72020411491;1.85915112495;2.71289110184;1.59226989746;1.5843911171;79;531;639;1254;284;652;83;95
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;148072;15360357;3450969;5603185;6423277;2025529;7418113;1015836;1.58149409294;3.02500104904;3.99851179123;9.11340689659;1.86364102364;2.65592193604;1.68399095535;1.67026519775;60;553;676;1323;279;647;156;176
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;137792;15403782;3465379;5730622;6557491;2002328;7411696;981545;1.56559205055;3.08230304718;4.2309191227;8.14593315125;1.85689783096;2.71676802635;1.67926812172;1.70915389061;84;558;727;1159;279;655;163;173
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;145283;15771777;3458675;5499921;6329995;2001279;7192320;1088425;1.56001591682;3.23122191429;3.6033000946;8.65937709808;1.89494514465;2.67193818092;1.61403012276;1.65433096886;59;638;587;1251;301;613;77;171
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;138210;15466699;3413685;5638603;6163527;1999253;7209783;1009621;1.61149907112;3.09353613853;4.1324801445;8.23948287964;1.95396494865;2.64547991753;1.62258601189;1.62559294701;73;584;693;1165;345;628;75;141
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;138995;15531824;3422342;5645284;6453623;1982772;7185610;997056;1.5576581955;3.14946699142;4.59621596336;8.3569290638;1.9200861454;2.7682390213;1.68435907364;1.73172688484;58;603;824;1197;314;679;144;229
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;146367;15090300;3377949;5589729;6204247;2017070;7410177;1018872;1.55932188034;3.0408000946;4.22981405258;8.80253314972;1.9331908226;2.67540788651;1.62238192558;1.61342787743;85;559;735;1262;327;629;110;126
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;143112;15548793;3438337;5544761;6363467;1995567;7201454;1051315;1.58218288422;3.18223214149;4.17746281624;8.17253684998;1.93707203865;2.74630093575;1.59617805481;1.67064499855;63;615;724;1148;296;668;85;161
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;140791;15077458;3440088;5570653;6375381;2013181;7193052;1025695;1.54209280014;3.05551195145;4.10568189621;8.59311890602;1.96882104874;2.79294800758;1.60614991188;1.65646886826;68;561;699;1230;340;687;91;165
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;139420;15175882;3425894;5562417;6176106;1996164;7193052;1013771;1.59811401367;3.059923172;4.45197081566;7.8953640461;1.89335608482;2.81841802597;1.59667396545;1.64028596878;83;555;797;1140;293;705;99;167
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;141835;15148398;3497078;5479416;5994955;2007931;7217055;989446;1.57710289955;3.43592119217;4.02953505516;8.362803936;1.99930310249;2.99024701118;1.68825411797;1.65079903603;77;683;691;1196;363;781;158;171
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;144416;15373140;3415151;5549199;6199987;2019876;7406119;1002832;1.56292891502;3.13885712624;4.09675478935;9.32426285744;1.90230298042;2.82788300514;1.63968896866;1.69449996948;53;594;687;1369;312;718;127;167
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;145094;15165321;3445034;5538380;5988975;2007119;7193052;1027733;1.55252194405;2.85903000832;4.16371107101;8.59964489937;1.9371471405;2.74796509743;1.58947491646;1.68658304214;71;477;719;1224;322;664;84;190
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;141468;15092213;3409680;5628726;6029411;2030801;7200240;1041475;1.58680796623;3.03021287918;4.28761291504;8.68772912025;1.99476695061;2.69434809685;1.6070971489;1.61541390419;82;553;739;1226;370;645;97;134
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;143604;15141551;3430601;5714263;6410820;1979768;7193052;1036236;1.5477540493;3.04948687553;3.96531319618;8.47706413269;1.93763399124;2.97250509262;1.58671498299;1.61588811874;84;569;668;1197;312;804;86;133
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;140046;14917922;3422092;5698441;5995958;2029486;7200372;1061861;1.58446407318;3.32472991943;4.00389885902;8.61420512199;2.01665997505;2.94621491432;1.60753297806;1.66164088249;69;649;666;1216;365;781;86;176
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;142498;14823711;3368631;5620453;6280079;2031839;7202042;1004158;1.5648419857;3.13507890701;3.91414499283;8.79003000259;1.94934296608;2.726085186;1.56470799446;1.64529895782;69;593;652;1273;334;659;68;156
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;143436;15113594;3405926;5635523;6058339;2023376;7192320;1055145;1.55886507034;3.44753694534;4.40631890297;9.29471182823;1.92505407333;2.68899488449;1.58430600166;1.63550686836;93;689;785;1364;322;646;90;140
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;142400;14999016;3367438;5586527;6265348;1997708;7199988;1025800;1.5550467968;3.05765199661;4.47605490685;9.09728002548;1.95165705681;2.99031996727;1.58587408066;1.61876702309;80;556;804;1300;303;815;88;132
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;151452;15274458;3412807;5505476;6056171;2011998;7199748;1022068;1.54932880402;3.07918906212;4.58550190926;8.35849499702;1.95917010307;2.82722902298;1.60659408569;1.67524814606;81;589;835;1180;354;707;80;200
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;147640;15263875;3410003;5629680;6207028;2008790;7192452;994840;1.53216481209;2.98764491081;4.48077297211;8.16908693314;1.84280490875;2.96915197372;1.62694907188;1.64547801018;66;523;796;1158;262;787;111;159
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;144052;15188167;3371073;5496743;6017443;2009616;7199988;1025135;1.5614259243;3.1435739994;4.42161798477;8.75958204269;1.87868404388;2.84112095833;1.5996928215;1.63347005844;76;598;772;1280;285;714;73;132
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;138616;14907098;3391608;5648459;6111040;2013981;7199400;991726;1.56025600433;3.19630217552;4.48795390129;8.45457983017;1.90805792809;2.79416108131;1.61451005936;1.63672399521;80;612;814;1220;304;705;92;144
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;137686;15378299;3374180;5621420;6145555;2002435;7193052;995983;1.58113694191;3.10364794731;4.47291398048;8.52403593063;1.88886904716;2.80719804764;1.57700109482;1.60045790672;83;582;799;1210;282;700;84;115
558778;83873134;28536548;134792339;16801647;33439101;13437654;8670796;141122;14971185;3374001;5517819;6218880;2005757;7411696;1003085;1.60534286499;3.14600992203;4.55471587181;7.94448304176;1.93821310997;2.808770895;1.64372396469;1.67148303986;98;593;842;1134;312;714;134;183
