"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"83873134";"14931958";"459";"7.98614001274";"5.61702182661";"5";"4";"4";"gdvnd";"78"
"16801647";"6169446";"211";"4.63812589645";"2.7233639779";"3";"4";"4";"gdvnd";"25"
"28536548";"3474099";"548";"10.0016269684";"8.21408601194";"6";"4";"4";"gdvnd";"66"
"558778";"148216";"53";"2.79128599167";"3.77002482863";"0";"4";"4";"gdvnd";"44"
"8670796";"1004822";"166";"3.12867093086";"8.6291860648";"1";"4";"4";"gdvnd";"20"
"83873134";"15565494";"443";"6.65458202362";"5.38840167874";"5";"4";"4";"gdvnd";"49"
"558778";"180488";"32";"2.69397902489";"3.09592881521";"0";"4";"4";"gdvnd";"86"
"83873134";"15332628";"483";"6.88463902473";"5.47023863098";"5";"4";"4";"gdvnd";"71"
"134792339";"5682370";"867";"20.3675191402";"23.7211478661";"7";"4";"4";"gdvnd";"49"
"83873134";"15290168";"518";"7.38003802299";"5.48542919869";"5";"4";"4";"gdvnd";"72"
"33439101";"2170710";"330";"5.644728899";"15.404683721";"4";"4";"4";"gdvnd";"28"
"13437654";"7215794";"58";"3.0713531971";"1.86225576839";"2";"4";"4";"gdvnd";"41"
"33439101";"2021836";"538";"6.31527304649";"16.5389779389";"4";"4";"4";"gdvnd";"16"
"8670796";"1017611";"159";"3.5347430706";"8.52073729549";"1";"4";"4";"gdvnd";"25"
"16801647";"8668970";"33";"3.41093587875";"1.93813647988";"3";"4";"4";"gdvnd";"61"
"13437654";"7216148";"76";"3.06357002258";"1.86216441237";"2";"4";"4";"gdvnd";"10"
"134792339";"5580979";"1089";"20.3437469006";"24.1520957165";"7";"4";"4";"gdvnd";"90"
"33439101";"2015372";"529";"6.79820299149";"16.592024202";"4";"4";"4";"gdvnd";"5"
"8670796";"1012778";"96";"3.04200601578";"8.5613984506";"1";"4";"4";"gdvnd";"87"
"16801647";"6081780";"248";"3.90207099915";"2.76261998954";"3";"4";"4";"gdvnd";"55"
"558778";"226358";"23";"2.61442780495";"2.46855865487";"0";"4";"4";"gdvnd";"73"
"134792339";"5614342";"1257";"26.5469510555";"24.0085728657";"7";"4";"4";"gdvnd";"10"
"28536548";"3491183";"385";"8.00170087814";"8.17389062676";"6";"4";"4";"gdvnd";"83"
"83873134";"15384613";"430";"6.3890080452";"5.45175455502";"5";"4";"4";"gdvnd";"79"
"33439101";"2032980";"507";"6.08521699905";"16.4483177405";"4";"4";"4";"gdvnd";"38"
"16801647";"6154773";"233";"3.80268716812";"2.72985648699";"3";"4";"4";"gdvnd";"98"
"33439101";"2002463";"417";"5.52979493141";"16.6989856991";"4";"4";"4";"gdvnd";"57"
"8670796";"1007117";"155";"4.06956911087";"8.6095220317";"1";"4";"4";"gdvnd";"69"
"16801647";"6060500";"246";"5.2121360302";"2.7723202706";"3";"4";"4";"gdvnd";"47"
"28536548";"3367334";"466";"8.95887899399";"8.47452257483";"6";"4";"4";"gdvnd";"52"
"16801647";"6186722";"307";"4.91307711601";"2.7157591694";"3";"4";"4";"gdvnd";"67"
"28536548";"3423617";"408";"7.64951205254";"8.33520455121";"6";"4";"4";"gdvnd";"64"
"33439101";"1994100";"587";"7.48311209679";"16.7690191064";"4";"4";"4";"gdvnd";"20"
"33439101";"2009817";"527";"6.12245893478";"16.6378834491";"4";"4";"4";"gdvnd";"85"
"16801647";"6248536";"235";"3.72295093536";"2.68889336638";"3";"4";"4";"gdvnd";"97"
"134792339";"5671889";"1009";"18.9592289925";"23.7649818253";"7";"4";"4";"gdvnd";"73"
"8670796";"1037156";"84";"2.95100593567";"8.36016568385";"1";"4";"4";"gdvnd";"71"
"558778";"147577";"42";"2.8153321743";"3.78634882129";"0";"4";"4";"gdvnd";"33"
"16801647";"6281772";"230";"3.87626695633";"2.67466679784";"3";"4";"4";"gdvnd";"34"
"13437654";"7242704";"104";"4.02211594582";"1.85533662566";"2";"4";"4";"gdvnd";"74"
"13437654";"7200972";"98";"3.14392900467";"1.86608891133";"2";"4";"4";"gdvnd";"47"
"16801647";"6264550";"256";"4.92958307266";"2.68201977796";"3";"4";"4";"gdvnd";"50"
"134792339";"5573957";"889";"19.492978096";"24.182522219";"7";"4";"4";"gdvnd";"45"
"134792339";"5690518";"833";"15.9183390141";"23.687182608";"7";"4";"4";"gdvnd";"97"
"33439101";"1994087";"559";"6.31922197342";"16.7691284282";"4";"4";"4";"gdvnd";"13"
"83873134";"15343531";"408";"6.39842700958";"5.46635151974";"5";"4";"4";"gdvnd";"29"
"33439101";"1982826";"445";"5.60810804367";"16.8643648005";"4";"4";"4";"gdvnd";"86"
"558778";"142033";"58";"2.84289097786";"3.93414206558";"0";"4";"4";"gdvnd";"41"
"28536548";"3440983";"494";"8.79895305634";"8.29313832704";"6";"4";"4";"gdvnd";"15"
"13437654";"7146126";"113";"3.26917290688";"1.88041100871";"2";"4";"4";"gdvnd";"37"
"13437654";"7179740";"112";"3.51131892204";"1.8716073284";"2";"4";"4";"gdvnd";"92"
"28536548";"3428230";"450";"9.21139287949";"8.32398876388";"6";"4";"4";"gdvnd";"90"
"134792339";"5613749";"965";"21.177724123";"24.0111089755";"7";"4";"4";"gdvnd";"40"
"33439101";"2042959";"542";"6.0913939476";"16.3679745898";"4";"4";"4";"gdvnd";"68"
"134792339";"5670587";"917";"19.3955481052";"23.7704384043";"7";"4";"4";"gdvnd";"66"
"16801647";"6066832";"251";"4.12522292137";"2.76942677826";"3";"4";"4";"gdvnd";"46"
"28536548";"3404296";"612";"10.2804880142";"8.382510804";"6";"4";"4";"gdvnd";"61"
"16801647";"5952712";"192";"3.79458904266";"2.82251971874";"3";"4";"4";"gdvnd";"11"
"8670796";"1032965";"120";"3.24447083473";"8.39408498836";"1";"4";"4";"gdvnd";"21"
"134792339";"5697495";"680";"15.1765990257";"23.6581759177";"7";"4";"4";"gdvnd";"16"
"13437654";"7201539";"85";"3.28202915192";"1.86594198823";"2";"4";"4";"gdvnd";"16"
"134792339";"5576652";"1115";"19.8495299816";"24.1708356555";"7";"4";"4";"gdvnd";"59"
"83873134";"15137777";"474";"7.83400297165";"5.54065065168";"5";"4";"4";"gdvnd";"10"
"8670796";"1009721";"122";"3.22995400429";"8.58731867516";"1";"4";"4";"gdvnd";"24"
"28536548";"3420560";"540";"10.6676177979";"8.34265383446";"6";"4";"4";"gdvnd";"92"
"33439101";"2014231";"506";"6.58702898026";"16.6014230741";"4";"4";"4";"gdvnd";"4"
"28536548";"3459868";"578";"10.566712141";"8.24787188413";"6";"4";"4";"gdvnd";"62"
"33439101";"2045643";"533";"6.01786518097";"16.3464988759";"4";"4";"4";"gdvnd";"27"
"134792339";"5635941";"783";"15.8182740211";"23.9165631791";"7";"4";"4";"gdvnd";"82"
"558778";"135168";"81";"3.65922689438";"4.13395182292";"0";"4";"4";"gdvnd";"29"
"28536548";"3461772";"485";"9.14749503136";"8.24333549408";"6";"4";"4";"gdvnd";"69"
"83873134";"15338575";"504";"6.77759289742";"5.46811773584";"5";"4";"4";"gdvnd";"13"
"558778";"136816";"90";"3.15110206604";"4.08415682376";"0";"4";"4";"gdvnd";"7"
"558778";"137686";"86";"2.90105390549";"4.05835015906";"0";"4";"4";"gdvnd";"61"
"28536548";"3430520";"478";"8.16554617882";"8.31843219104";"6";"4";"4";"gdvnd";"8"
"13437654";"7199748";"85";"3.34614086151";"1.86640615755";"2";"4";"4";"gdvnd";"64"
"134792339";"5591691";"1160";"22.524574995";"24.1058275574";"7";"4";"4";"gdvnd";"58"
"83873134";"15332590";"508";"6.79875302315";"5.47025218831";"5";"4";"4";"gdvnd";"54"
"558778";"137880";"66";"2.80892181396";"4.05263997679";"0";"4";"4";"gdvnd";"42"
"13437654";"7195212";"71";"3.30263018608";"1.86758277588";"2";"4";"4";"gdvnd";"6"
"558778";"146265";"62";"2.83586406708";"3.82031244659";"0";"4";"4";"gdvnd";"37"
"134792339";"5679121";"1094";"24.0637450218";"23.7347186299";"7";"4";"4";"gdvnd";"35"
"558778";"138131";"79";"2.78411197662";"4.04527586132";"0";"4";"4";"gdvnd";"53"
"8670796";"974910";"147";"3.95369005203";"8.89394508211";"1";"4";"4";"gdvnd";"8"
"83873134";"15149136";"524";"8.28959202766";"5.53649620678";"5";"4";"4";"gdvnd";"70"
"83873134";"15374994";"438";"6.39592409134";"5.45516531584";"5";"4";"4";"gdvnd";"83"
"558778";"146173";"78";"2.93069696426";"3.82271691763";"0";"4";"4";"gdvnd";"31"
"33439101";"2055153";"508";"6.21993803978";"16.2708572063";"4";"4";"4";"gdvnd";"41"
"28536548";"3465259";"543";"8.70130610466";"8.23504043998";"6";"4";"4";"gdvnd";"19"
"13437654";"7128116";"102";"4.1150829792";"1.8851620821";"2";"4";"4";"gdvnd";"79"
"558778";"139317";"77";"2.87817406654";"4.01083859113";"0";"4";"4";"gdvnd";"10"
"16801647";"6125224";"248";"3.75349998474";"2.74302572445";"3";"4";"4";"gdvnd";"87"
"8670796";"1018225";"142";"3.88262605667";"8.5155992045";"1";"4";"4";"gdvnd";"33"
"8670796";"1012537";"101";"2.88978600502";"8.56343620036";"1";"4";"4";"gdvnd";"5"
"28536548";"3405238";"592";"10.8198859692";"8.38019192785";"6";"4";"4";"gdvnd";"99"
"33439101";"1978324";"536";"7.00794792175";"16.9027424224";"4";"4";"4";"gdvnd";"3"
"134792339";"5697562";"1030";"22.0279321671";"23.6578977113";"7";"4";"4";"gdvnd";"25"
"28536548";"3445157";"539";"9.51868796349";"8.28309072707";"6";"4";"4";"gdvnd";"55"
"28536548";"3392440";"523";"8.29608798027";"8.41180625155";"6";"4";"4";"gdvnd";"30"
"13437654";"7201560";"77";"3.26834321022";"1.86593654708";"2";"4";"4";"gdvnd";"58"
