in0initial;in4initial;in2initial;in5initial;in3initial;in1initial;in6initial;in7initial;in0final;in4final;in2final;in5final;in3final;in1final;in6final;in7final;in0time;in4time;in2time;in5time;in3time;in1time;in6time;in7time;in0count;in4count;in2count;in5count;in3count;in1count;in6count;in7count;in0imp;in4imp;in2imp;in5imp;in3imp;in1imp;in6imp;in7imp
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;136816;1996467;7180002;15402036;6083173;1013589;3478525;5601212;2.35804080963;3.95712900162;2.68103289604;3.74532008171;2.94341111183;2.68020510674;4.7913839817;8.55869293213;76;641;127;483;269;121;717;1269;4.08415682376;16.749137852;1.871539033;5.4455874535;2.76198737074;8.55454824391;8.2036345865;24.0648522141
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;138200;2054364;7421446;15188175;6497372;1069105;3381713;5679055;2.75171399117;3.9798271656;2.77992677689;3.52821183205;3.06492519379;2.62912011147;4.21310305595;7.93301892281;82;677;164;457;222;112;535;1174;4.04325615051;16.2771061993;1.81065172474;5.52226544664;2.58591427426;8.110331539;8.4384890143;23.7349944665
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;137705;1991754;7126524;15154097;6061372;1020238;3455766;5642350;2.76324796677;4.42054796219;2.55882692337;4.25251507759;2.94258594513;2.87433505058;4.31976890564;8.10013198853;96;759;126;660;257;110;621;1243;4.0577902037;16.7887706012;1.88558320999;5.53468372282;2.77192143957;8.49879733944;8.2576621218;23.8893969711
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;138995;2015724;7424318;15136966;6226936;1002820;3398465;5654765;2.74008584023;4.18836283684;2.6488571167;4.09017801285;3.01806092262;2.72792601585;4.37583899498;9.01289510727;60;796;132;571;300;91;588;1421;4.02013022051;16.5891267852;1.80995129788;5.5409475056;2.69822060159;8.64641311502;8.3968933033;23.8369479545
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;154436;2058908;7199989;15565130;6202744;1002024;3442603;5580800;2.52005290985;3.9926199913;2.48509216309;3.81859707832;2.94632387161;2.56065416336;4.18558692932;8.34704303741;66;625;97;453;288;161;576;1275;3.61818487917;16.2411827046;1.86634368469;5.38852768978;2.70874422675;8.65328175772;8.28923579048;24.152870377
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;138215;1992467;7424705;15291960;6327866;1088940;3443037;5579487;2.4170601368;4.46628093719;2.66961598396;3.89006090164;3.02430510521;2.43448400497;4.69947314262;8.99751615524;80;757;118;481;243;97;578;1420;4.04281734978;16.782762776;1.80985695728;5.48478638448;2.65518375389;7.96260216357;8.28819091982;24.1585541825
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;140648;1985904;7177174;15579756;6111289;1085198;3454749;5646028;2.55456495285;4.32509994507;2.43359303474;3.48954510689;2.93764090538;2.41583514214;4.76846909523;8.48664307594;45;759;118;363;281;107;650;1281;3.97288265741;16.8382263191;1.87227646982;5.38346903507;2.74928038913;7.99005895698;8.26009299084;23.8738346675
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;138159;1965441;7414350;15411519;6232629;1001276;3406849;5718954;2.67514109612;4.21520185471;2.53776502609;4.30352520943;2.74594783783;2.56089496613;4.40316796303;7.87699103355;76;726;87;597;255;129;607;1219;4.0444560253;17.0135358935;1.8123846325;5.44223668024;2.69575599639;8.65974616389;8.37622917834;23.5694043002
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;134550;2002216;7186282;15410223;6185916;1035063;3394072;5630080;2.56075906754;3.80631995201;2.41197299957;3.56572914124;2.96139979362;2.60037112236;3.97499585152;8.76708602905;78;590;94;444;302;126;478;1308;4.15293942772;16.7010457413;1.86990351895;5.44269437243;2.7161130219;8.37707076767;8.40776153246;23.9414606897
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;151574;1984118;7198190;15254309;6289317;1096137;3395815;5505804;2.48190402985;4.21921086311;2.68525195122;4.08863377571;2.99740409851;2.58480596542;4.43282294273;8.88105607033;81;682;117;557;278;110;644;1373;3.68650296225;16.8533832161;1.86681012866;5.49832404732;2.67145812494;7.9103214288;8.40344600633;24.4818629577
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;147770;2054859;7406945;15160996;6337512;1038124;3490530;5586758;2.44749403;4.08609485626;2.46106505394;4.2516438961;2.92678594589;2.71821904182;4.79802894592;9.5401160717;50;571;76;638;187;151;643;1502;3.78140353252;16.2731851674;1.81419654122;5.5321651691;2.65114243571;8.35237023708;8.17541977866;24.12711254
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;141857;1986548;7408941;15061078;6352468;978496;3474981;5664254;2.57290291786;4.35297703743;2.51237201691;3.77688884735;2.85824298859;2.34715509415;4.62982487679;8.14593100548;61;730;86;495;231;97;600;1200;3.93902310073;16.8327676955;1.81370778901;5.56886658445;2.64490069057;8.86135048074;8.21200115914;23.7970152822
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;134824;2039376;7410446;15486021;6326733;1016020;3406276;5603748;2.43944501877;4.04434585571;2.45914387703;3.77553200722;2.8808889389;2.70590400696;4.28843402863;8.48470783234;105;686;141;503;295;169;636;1234;4.14449949564;16.3967316473;1.81333944003;5.41605451781;2.65565924783;8.53408003779;8.37763821839;24.0539615629
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;151986;1991964;7171450;15651308;6074065;1009729;3353588;5586475;2.69495487213;4.53226304054;2.81499695778;3.38868904114;2.99826717377;2.68502306938;5.1982049942;8.76571798325;60;748;129;395;263;134;724;1335;3.67650967852;16.7870006687;1.87377085527;5.35885780281;2.7661289433;8.58725063854;8.50925874019;24.1283347728
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;136546;2007240;7405534;15425793;6088550;1002902;3365710;5674989;2.59389591217;3.92332720757;2.53920197487;3.97182583809;3.10419011116;2.43796801567;4.77538585663;8.48027205467;69;694;109;547;302;112;662;1251;4.0922326542;16.6592440366;1.81454220587;5.43720079739;2.75954816828;8.64570616072;8.47861164509;23.7520000479
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;157127;2022154;7418066;16052700;6453661;974067;3420405;5606169;2.58280086517;4.07605195045;2.42603397369;4.067237854;2.93786287308;2.49662995338;4.13293099403;9.23149490356;49;641;112;530;273;163;565;1423;3.55621885481;16.5363770514;1.81147673801;5.22486148748;2.60342881351;8.90164228949;8.34303189242;24.0435739629
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;156884;1978546;7413738;15331432;6398309;1008119;3364331;5639504;2.44622087479;4.72125983238;2.4951338768;3.7962141037;2.77559804916;2.5529820919;4.68611383438;9.16352820396;50;773;109;489;218;131;668;1478;3.56172713597;16.9008458737;1.81253424386;5.4706653625;2.62595116929;8.60096476706;8.48208692902;23.9014528583
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;148057;2008049;7408533;15254907;6379513;1089775;3446520;5629663;2.38930010796;3.77328419685;2.48216509819;3.90851902962;2.75002908707;2.56852388382;5.02000403404;8.65843105316;58;691;114;502;193;178;710;1338;3.77407349872;16.6525323834;1.81380767286;5.49810851026;2.63368802603;7.95650111261;8.2798150018;23.9432340799
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;143072;1981033;7413082;14977505;6132516;1049311;3469749;5616785;2.50653100014;3.99233007431;2.61649298668;4.55751013756;2.65681695938;2.6611828804;4.02118706703;7.95761203766;57;745;81;664;249;94;553;1225;3.90557201968;16.8796284565;1.81269463902;5.59994031049;2.73976407073;8.26332326641;8.224383954;23.9981304251
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;139985;2002917;7419853;15385043;6321173;1029849;3374910;5591416;2.44385814667;4.15769100189;2.58594608307;4.25167512894;2.69551301003;2.61543679237;4.92765903473;7.94117808342;83;656;83;634;248;131;723;1177;3.99169911062;16.69520055;1.81104046131;5.45160218272;2.65799512211;8.41948285622;8.45549896145;24.107013143
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;138174;2022228;7406918;15235153;6403669;1005494;3463845;5649675;2.55005097389;3.97030496597;2.5936460495;4.04151391983;2.85049700737;2.57986688614;4.48438286781;8.46489191055;79;737;90;536;217;133;634;1308;4.04401696412;16.5357719308;1.8142031544;5.50523739407;2.62375319524;8.62341893636;8.2384021225;23.8584235376
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;144707;1967680;7200972;15266063;6099629;1067041;3449454;5646342;2.47805786133;4.13729691505;2.7899210453;4.35858201981;2.82888197899;2.71769309044;3.79489707947;8.79280686378;53;762;66;610;143;164;466;1388;3.86144415958;16.9941763905;1.86608891133;5.49409065062;2.75453589063;8.12601952502;8.27277244457;23.8725070143
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;147135;2005207;7210700;15154629;6266161;1024067;3438967;5568439;2.49498009682;3.86362814903;2.50869011879;4.05388593674;3.19791698456;2.718501091;4.88514780998;8.23429989815;64;594;123;555;286;150;705;1224;3.79772317939;16.6761341847;1.86357135923;5.53448942894;2.68133024351;8.46702022426;8.29799995173;24.2064856955
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;141283;2008212;7193892;15394167;6306091;1018281;3405537;5594222;2.60501599312;4.39343690872;2.45313405991;4.25110292435;2.942497015;3.72672796249;4.60162806511;8.82849097252;63;768;83;561;203;133;745;1363;3.9550264363;16.6511807518;1.86792545676;5.44837106158;2.66435213193;8.51513089216;8.37945616213;24.0949213313
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;147307;1988750;7207971;15085264;6216400;1003192;3374713;5594147;2.5756649971;4.34277510643;2.474807024;4.11876916885;2.95665407181;2.68063879013;4.30464220047;9.09379816055;59;737;78;544;266;148;626;1436;3.79328884574;16.8141299811;1.86427692342;5.55993809588;2.70279373914;8.64320688363;8.45599255403;24.0952443688
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;141413;1968214;7136178;15247062;6394178;998308;3396319;5549256;2.48840284348;4.19394493103;2.52205991745;3.86145615578;2.69297885895;2.65491509438;4.71865415573;8.8325521946;54;666;88;489;190;158;678;1297;3.95139060765;16.9895656671;1.88303234589;5.5009374265;2.627647682;8.68549185221;8.40219896894;24.2901641229
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;140771;1994969;7433490;15583801;6064702;1011521;3371975;5555297;2.70829200745;4.16897296906;2.56162405014;3.29735922813;2.92558002472;2.68026900291;4.77772402763;8.48514294624;104;694;83;410;270;114;665;1256;3.96941131341;16.7617145931;1.80771804361;5.38207167815;2.77039943595;8.57203755533;8.4628587104;24.2637502549
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;142931;2004115;7428266;15529798;6063682;1055722;3433048;5554899;2.5547618866;4.01904511452;2.47088193893;4.05931782722;2.93084907532;2.65197896957;4.16169595718;9.0055270195;92;758;104;590;273;96;597;1398;3.90942482736;16.6852206585;1.80898933883;5.40078718345;2.77086545765;8.21314323278;8.31230673151;24.2654887155
558778;33439101;13437654;83873134;16801647;8670796;28536548;134792339;142221;2010428;7207143;15446596;6107717;1075694;3422804;5611713;2.54280209541;4.19907021523;2.71286296844;3.39911413193;3.10360097885;2.70478820801;5.02795696259;8.28351902962;67;686;142;428;300;127;722;1265;3.92894157684;16.6328269403;1.86449110279;5.42987814273;2.75088826152;8.06065293662;8.33718436697;24.0198205076
