in6initial;in2initial;in3initial;in5initial;in7initial;in4initial;in1initial;in0initial;in6final;in2final;in3final;in5final;in7final;in4final;in1final;in0final;in6time;in2time;in3time;in5time;in7time;in4time;in1time;in0time;in6count;in2count;in3count;in5count;in7count;in4count;in1count;in0count
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3407193;7193052;5913384;15090257;5660830;2003788;1015556;142738;4.49614906311;1.3585870266;1.83227515221;3.50053977966;9.72753095627;2.87352991104;1.38406515121;1.21006393433;803;109;374;682;1366;681;190;81
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3451042;7193052;6045951;15437778;5591733;2013979;1015976;139654;4.65354800224;1.25247812271;1.77260518074;3.22960495949;8.98368310928;2.86610484123;1.35366296768;1.26989197731;784;98;351;625;1275;669;174;118
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3475876;7193052;6130119;15291046;5639302;1982481;997942;147078;4.70777106285;1.27200007439;1.67577791214;2.87533903122;8.79522705078;2.85592198372;1.43311190605;1.28002810478;831;112;302;521;1226;662;216;114
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3445395;7193052;6130141;15216669;5659741;2009730;1002124;142738;4.28581190109;1.28709316254;1.7518491745;3.11330604553;9.34314894676;2.93156504631;1.38185405731;1.21886706352;747;111;331;571;1349;689;196;83
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3425941;7192320;5923438;14845491;5668396;2006417;1021895;142043;4.45537090302;1.2969379425;1.90146112442;3.54966402054;8.97192311287;2.86854314804;1.44596219063;1.23386883736;789;114;373;658;1325;671;229;96
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3412597;7193052;5905009;15003448;5646971;2004384;964253;168960;4.557117939;1.29037499428;1.95785117149;3.20724201202;8.41065812111;3.13390994072;1.4329688549;1.20645999908;799;113;375;610;1201;756;227;80
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3395766;7192320;5934801;15114998;5590192;2047314;1008615;142044;4.66780591011;1.28141403198;1.82188010216;3.24636697769;9.01114797592;2.89208698273;1.39316296577;1.21224689484;794;108;359;618;1257;629;203;79
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3407328;7193052;6029719;14891324;5576895;2002977;999816;145670;4.15096306801;1.27289509773;1.88510513306;3.24276804924;8.73913002014;2.84365606308;1.43674492836;1.22752594948;669;100;365;596;1158;666;183;93
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3453172;7193052;5923438;15248991;5651434;2031491;1018872;139425;4.81207895279;1.32857704163;1.91247487068;3.12487578392;8.57099819183;2.78796005249;1.43884110451;1.26297593117;848;101;372;583;1217;621;170;106
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3421534;7193052;5986456;15339529;5558660;1996889;995049;138309;4.49339914322;1.27363204956;1.83938694;3.05806398392;9.78024983406;2.9040749073;1.41859102249;1.26156687737;807;102;346;537;1403;684;213;118
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3451434;7192320;6046142;15158223;5601904;2029288;1021688;141761;4.79988503456;1.28900504112;1.75642180443;3.27618908882;9.30255389214;3.07600498199;1.42994904518;1.26676797867;856;113;330;642;1320;691;225;109
28536548;13437654;16801647;83873134;134792339;33439101;8670796;558778;3444505;7192320;6137192;15153154;5544752;2010843;1005592;136132;4.52609181404;1.29448580742;1.85149788857;3.48923897743;9.22259187698;2.97430205345;1.37493109703;1.21826314926;807;117;333;664;1286;687;178;88
