"initial";"final";"count";"time";"imp";"inum";"n";"w";"type"
558778;141835;95;1.28078889847;3.939634081855677;0;1;1;"dvnd"
8670796;1005671;170;1.47345519066;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.35009407997;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45999598503;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95199990273;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.38902592659;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.17893910408;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3894228935;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.2312040329;3.939634081855677;0;1;1;"dvnd"
8670796;1030339;174;1.45048213005;8.415478789019925;1;1;1;"dvnd"
13437654;7193052;98;1.34342694283;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.48857903481;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.99240899086;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31297206879;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.17912197113;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.7196071148;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.26692700386;3.939634081855677;0;1;1;"dvnd"
8670796;1019220;166;1.44374990463;8.507285963776221;1;1;1;"dvnd"
13437654;7193052;98;1.37336087227;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46487283707;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97145605087;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30276107788;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18795800209;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3658211231;23.931378199050787;7;1;1;"dvnd"
558778;148555;82;1.20264101028;3.761421695668271;0;1;1;"dvnd"
8670796;1044743;179;1.44373703003;8.299453549820386;1;1;1;"dvnd"
13437654;7193052;98;1.32506084442;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43663883209;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95631098747;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30255484581;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18317985535;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3635349274;23.931378199050787;7;1;1;"dvnd"
558778;151518;100;1.2464389801;3.6878654681291994;0;1;1;"dvnd"
8670796;999543;198;1.52400493622;8.674760365487028;1;1;1;"dvnd"
13437654;7193052;98;1.32181501389;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47486591339;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95396280289;16.426768000542335;4;1;1;"dvnd"
