in1initial;in6initial;in7initial;in5initial;in3initial;in2initial;in4initial;in0initial;in1final;in6final;in7final;in5final;in3final;in2final;in4final;in0final;in1time;in6time;in7time;in5time;in3time;in2time;in4time;in0time;in1count;in6count;in7count;in5count;in3count;in2count;in4count;in0count;in1imp;in6imp;in7imp;in5imp;in3imp;in2imp;in4imp;in0imp
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;986713;3465858;5697373;15234408;6453440;7171880;1983055;142963;3.16078186035;6.00376296043;8.87710499763;4.5035238266;3.47513914108;3.17141294479;5.52859377861;2.91042709351;106;614;1185;530;240;115;654;52;8.78755626003;8.23361718801;23.6586825191;5.50550661371;2.60351796871;1.87365851074;16.8624173308;3.90854976462
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;1049453;3389486;5572090;15278062;6245960;7194132;2015790;142280;3.04234099388;4.99057912827;8.58874416351;4.29612612724;4.20400595665;2.77605009079;4.25279688835;2.84410595894;76;576;1154;509;188;78;550;64;8.26220516784;8.41913729692;24.1906248822;5.48977573203;2.69000233751;1.86786314179;16.5885836322;3.92731234186
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;1004585;3464334;5480824;15650060;6112280;7180630;1976720;160044;2.87737202644;4.87904000282;9.39235806465;4.21201610565;3.48544692993;3.12741613388;4.78862214088;2.77045297623;113;596;1314;441;291;107;694;54;8.63122184783;8.23723925003;24.593444161;5.35928514012;2.74883464108;1.87137535286;16.916458072;3.49140236435
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;985887;3409904;5579718;15164732;6135850;7209051;1956288;138200;3.05589199066;5.31207704544;8.90708208084;4.58738613129;3.36625504494;3.34559011459;4.72986388206;3.09052300453;122;632;1192;584;240;77;659;72;8.79491868744;8.36872475002;24.1575540198;5.53080225882;2.73827538157;1.86399763298;17.0931381269;4.04325615051
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;977481;3360475;5529714;15106900;6217012;7195704;1983616;137686;3.96396803856;6.32053494453;8.80519509315;4.31113910675;3.2330930233;2.97744107246;4.26690888405;3.02730202675;116;706;1173;534;224;67;584;84;8.87055195958;8.49181975762;24.3760055222;5.55197519014;2.70252767728;1.86745508153;16.8576483553;4.05835015906
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;1016074;3493213;5436454;15181318;6193732;7165712;1966900;138200;2.91201996803;6.54921913147;8.31309580803;5.7659330368;3.59622192383;3.17782402039;5.42428088188;2.90949583054;125;666;1127;590;274;144;697;75;8.53362648783;8.16914055914;24.7941652776;5.52475970795;2.71268550205;1.87527129195;17.0009156541;4.04325615051
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;1080858;3406443;5650426;14971948;6627324;7195054;1997155;142910;4.02940177917;4.84326696396;9.1047410965;4.77889513969;3.13834810257;3.09634590149;4.252409935;2.98933601379;115;585;1271;668;246;118;642;62;8.02214166893;8.37722750682;23.8552525066;5.60201878874;2.53520832843;1.86762378712;16.7433679409;3.90999930026
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;978758;3471827;5535964;15052112;6354208;7176332;2013457;147770;3.03659081459;5.05511593819;9.39968800545;5.54566383362;3.22716808319;3.86326003075;4.27662491798;2.88510990143;119;662;1262;503;202;110;585;87;8.85897841959;8.21946139597;24.348485467;5.57218375734;2.64417642608;1.87249614427;16.6078048848;3.78140353252
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;1025886;3417830;5599160;15270529;6249904;7175838;2037427;144950;3.02333498001;5.21192598343;9.57002186775;4.37608098984;4.24873209;2.98450708389;5.40988683701;3.05862188339;120;664;1297;512;241;111;653;70;8.45200733805;8.34931754944;24.0736715865;5.49248385567;2.68830481236;1.8726250509;16.4124167393;3.85497067954
8670796;28536548;134792339;83873134;16801647;13437654;33439101;558778;1028314;3539607;5578433;15088684;6337112;7136538;2002918;144617;3.01811289787;4.84933590889;7.79408788681;4.84687495232;3.28551387787;2.95313596725;5.86316895485;4.08983707428;129;545;1008;581;187;115;723;50;8.43205091052;8.06206677747;24.1631187468;5.55867788072;2.65130977644;1.88293735702;16.6951922146;3.86384726554
