in0initial;in4initial;in6initial;in1initial;in2initial;in7initial;in5initial;in3initial;in0final;in4final;in6final;in1final;in2final;in7final;in5final;in3final;in0time;in4time;in6time;in1time;in2time;in7time;in5time;in3time;in0count;in4count;in6count;in1count;in2count;in7count;in5count;in3count
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;141147;2057397;3407184;1005468;7200972;5529636;15271616;6321948;2.67680001259;2.92886900902;4.61352801323;2.71847105026;2.67018914223;7.97818613052;3.94388198853;2.99709200859;57;678;593;130;62;1130;529;264
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;139425;2036181;3405219;1110171;7433490;5537576;15201006;5942915;2.77325081825;3.72140598297;4.11737322807;2.7786898613;2.6875;8.44343805313;3.07709503174;3.08005094528;65;701;514;76;93;1230;609;274
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;141895;2007389;3377258;1040356;7200972;5570422;15366997;6036977;2.68629193306;4.30032801628;4.65125393867;2.68957614899;2.6860871315;8.98781490326;4.36863803864;2.07020115852;48;787;649;89;64;1325;645;318
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;140531;2026701;3388687;1014179;7409834;5762233;14841526;6154124;1.58611607552;3.8046810627;4.46730899811;2.66748905182;2.7091050148;7.64858913422;4.45446205139;3.09220600128;91;599;625;125;123;1255;681;299
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;138200;1965170;3414265;1038975;7202568;5478436;15207741;6294872;2.81925988197;3.70683288574;5.03980278969;2.72178292274;2.55380487442;8.03783082962;4.12124586105;3.32627391815;87;643;729;88;52;1148;613;309
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;136860;2006506;3467759;1003290;7200240;5616044;15279081;6002742;2.76150107384;3.92311906815;4.74093699455;2.7666311264;1.54021406174;7.52894711494;3.97496700287;3.12844991684;74;642;675;105;85;1206;556;268
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;147252;1999195;3428917;999932;7403112;5587618;15183910;6215091;2.7621178627;3.62810301781;4.80852413177;2.69906401634;2.90789294243;8.4812810421;3.71023607254;2.97982788086;79;604;673;142;111;1235;512;265
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;142066;1999346;3489847;1010586;7200240;5530433;15414742;6228940;2.76719594002;3.567248106;3.70576691628;2.72856903076;2.6487891674;8.94893622398;3.10056018829;3.2733271122;92;520;644;147;85;1348;629;356
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;142857;2001542;3420258;1053760;7433490;5561359;14952110;6392122;2.72710895538;3.82904005051;5.02689599991;2.81476902962;2.6082367897;8.29443311691;2.9415230751;2.95933008194;52;592;718;126;78;1184;528;252
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;144808;2007738;3409816;1011650;7433490;5698550;15174386;6162542;2.70686912537;4.00799298286;4.76923799515;2.6944038868;2.77063298225;8.60638809204;3.77786803246;3.06258606911;64;678;652;106;86;1260;547;261
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;138131;2016386;3384729;1041578;7200972;5583617;15282539;6385719;2.81301522255;3.70584797859;4.13945579529;2.68767094612;2.67953801155;8.33004403114;4.09645009041;3.13356208801;102;563;565;100;62;1180;539;264
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;138092;2022303;3446766;1040462;7193052;5623201;15326377;6133844;2.73626494408;3.79065203667;5.09476494789;2.65373802185;2.72326016426;9.00632190704;3.9015982151;2.96492600441;59;651;714;87;86;1343;516;252
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;138200;1999569;3435759;986583;7200972;5586389;15139900;6302091;2.79761695862;3.60710096359;4.45639300346;2.69606494904;2.66107487679;7.91656804085;4.08253097534;3.06553602219;116;679;602;110;63;1151;555;297
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;142803;1987005;3451310;995831;7199400;5530007;15223508;6269858;2.60531401634;4.22209501266;5.65861606598;2.7724211216;2.62679505348;8.13272500038;3.57242512703;3.21732211113;35;729;866;82;62;1197;479;324
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;142803;2009588;3385819;989262;7199400;5529176;15534870;6089116;2.5776219368;4.16700601578;4.41360998154;2.68291378021;2.68021512032;8.71972990036;3.79453778267;3.09070491791;37;687;624;92;67;1288;480;264
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;156043;1998971;3395593;996229;7199400;5609477;15490496;6382797;2.89238786697;3.68539977074;5.01322293282;2.66459298134;2.83531498909;8.46053099632;3.37118697166;3.14971709251;82;633;714;88;94;1202;397;231
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;142722;2004800;3423621;1009964;7417966;5632485;15481694;6335241;2.6922121048;3.81731987;4.26779103279;2.72293806076;2.87336277962;8.39507007599;4.15976691246;3.10546302795;84;688;581;119;150;1194;634;279
558778;33439101;28536548;8670796;13437654;134792339;83873134;16801647;141042;1998806;3439599;1055854;7433490;5583917;14880868;6031054;2.71241307259;4.038022995;4.09297609329;2.75272989273;2.68005394936;8.5413081646;4.04589891434;3.03111195564;83;676;808;98;85;1280;543;289
