in6initial;in7initial;in0initial;in2initial;in3initial;in4initial;in1initial;in5initial;in6final;in7final;in0final;in2final;in3final;in4final;in1final;in5final;in6time;in7time;in0time;in2time;in3time;in4time;in1time;in5time;in6count;in7count;in0count;in2count;in3count;in4count;in1count;in5count
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3422329;5661795;142803;7201454;6184586;2037525;1016518;14856642;4.21224498749;8.06040906906;1.6484940052;1.66739797592;2.03727889061;2.74827003479;1.73261094093;3.26960992813;713;1139;56;70;341;616;155;621
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3373233;5528993;145496;7199400;6127734;1996090;1024930;15306069;4.49613499641;8.98028707504;1.65331983566;1.6755399704;1.9894759655;2.96902394295;1.71131014824;3.27597808838;771;1302;45;81;305;742;159;610
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3414827;5619579;140520;7185058;6472637;1978194;1006457;14966262;4.1400179863;8.81105899811;1.65038919449;1.75975108147;1.99220609665;2.89084100723;1.78092503548;3.18054294586;662;1240;72;130;322;691;217;573
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3421315;5527221;142348;7193052;6051020;1981193;1052301;15211486;4.57335495949;8.68197393417;1.63914704323;1.6553709507;1.9876999855;2.81212115288;1.77815508842;3.24555802345;781;1220;69;64;290;652;179;604
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3436855;5589087;136816;7193052;6368084;2024329;1074605;15131753;4.24908995628;8.85747718811;1.65879106522;1.64964389801;1.97665500641;2.82634592056;1.71285605431;3.17095208168;722;1262;79;54;292;672;135;583
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3387338;5662433;142712;7199400;6455746;1979599;1033487;15042450;4.46678185463;8.94686388969;1.67352104187;1.72495007515;1.9626429081;2.76581692696;1.73001384735;3.3267800808;773;1280;81;67;289;626;161;631
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3423827;5540632;154294;7200240;6091257;1982805;1018304;15133297;4.59184598923;8.38290190697;1.62529087067;1.67824792862;2.02902603149;2.98914909363;1.70889115334;3.21523594856;829;1188;49;78;330;753;114;599
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3387914;5562868;140856;7199748;6136973;2003458;977457;15059348;4.19864916801;8.50132417679;1.65036916733;1.69812083244;1.99908494949;2.96678113937;1.78611898422;3.01501703262;703;1179;80;105;277;729;181;522
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3460048;5572597;144052;7200972;6286169;1967775;1038027;15275839;3.92345809937;8.7158138752;1.6590089798;1.66936802864;1.98848390579;2.8103249073;1.72430205345;3.12911987305;642;1238;55;74;288;633;163;548
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3417600;5595686;143388;7198668;6157944;2005558;989222;15025885;4.38650894165;9.2502348423;1.64519095421;1.7475039959;1.98984599113;2.94268608093;1.72661995888;3.32435321808;751;1331;54;124;291;716;157;616
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3368758;5460084;145604;7131797;6197273;2012834;1031100;15094072;4.26060318947;9.49365592003;1.6979060173;1.78601408005;2.00245189667;2.9342610836;1.73521208763;3.11853194237;741;1364;69;162;292;699;155;552
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3406868;5641275;148036;7200972;6233150;2016716;1094092;14961129;4.14598703384;7.91166090965;1.64051699638;1.71360087395;2.01864695549;2.93648600578;1.76081609726;3.18823409081;684;1076;60;110;313;715;170;589
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3408145;5593185;152069;7200240;6094558;2017817;1016491;15270726;4.12855696678;9.48835587502;1.644053936;1.64889287949;1.97424006462;2.66198801994;1.75226283073;3.28816199303;693;1372;55;77;286;571;171;604
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3461889;5518073;147131;7199400;6039852;2039621;1030239;14986297;4.34591197968;9.60548615456;1.72780919075;1.74360918999;1.98984193802;2.9280860424;1.70440483093;3.36945104599;739;1374;103;83;308;704;137;645
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3400109;5578339;148645;7193052;6071911;2015162;1044559;15051748;4.34943008423;8.67410302162;1.63077402115;1.65247297287;2.01589202881;2.96738100052;1.70688796043;3.43905997276;755;1230;41;70;326;736;151;661
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3446361;5559476;142803;7192320;6407332;2049221;972446;14970861;4.56691002846;9.77846002579;1.63271403313;1.64298510551;1.9547560215;2.99911904335;1.79268097878;3.24816894531;804;1403;62;67;272;752;216;605
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3449590;5558210;158884;7200240;6110283;2011330;1062481;14983188;4.40579915047;8.7911028862;1.61614012718;1.68817710876;1.9743540287;2.83977985382;1.70017910004;3.33794999123;772;1242;50;98;279;661;104;628
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3417367;5657340;143270;7200240;6388665;1991752;1006951;15034151;4.06542205811;8.93010902405;1.66647291183;1.68766498566;1.96210217476;2.96677708626;1.70929884911;3.40328192711;676;1281;80;92;277;739;154;654
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3438031;5603000;138463;7200240;6176697;2078226;968649;15255778;4.33992409706;9.56079101562;1.70172691345;1.66030216217;2.001693964;2.68027019501;1.83725881577;3.16136097908;753;1381;76;74;308;576;255;579
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3468110;5621130;139087;7434609;5971753;1959051;1029902;15262046;4.36411213875;8.93840718269;1.61469483376;1.75869894028;2.18519496918;2.85710906982;1.69894003868;3.29836893082;754;1251;43;156;385;671;125;614
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3443672;5679112;146034;7192320;6147644;2010596;986225;14938860;4.1384241581;9.05078411102;1.62663197517;1.65400695801;2.01470589638;2.82707095146;1.75424098969;3.17295503616;683;1288;66;73;319;677;167;573
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3474664;5603377;144430;7199400;6117133;2045165;1014628;15150729;4.39803695679;8.16021990776;1.66260814667;1.6337480545;2.01459908485;2.87264513969;1.7629339695;3.09671092033;743;1149;65;63;309;657;202;550
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3415981;5678656;139685;7199400;6010991;1975414;1010589;15119489;4.34487390518;9.24471902847;1.6722471714;1.70010709763;2.00130701065;2.98874998093;1.73693394661;3.40560507774;741;1313;64;80;316;726;151;624
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3375444;5633610;139087;7199400;6241595;2007696;1003615;15006792;4.74104094505;8.81185507774;1.66301178932;1.6931180954;2.04791593552;2.85566496849;1.73424506187;3.24203300476;844;1218;57;71;332;665;161;594
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3391963;5564348;136816;7200972;6446010;2054843;984778;15129375;4.22223520279;8.65123200417;1.64108800888;1.67913198471;1.93774914742;2.63329696655;1.70267415047;3.19063591957;698;1227;54;72;275;563;142;572
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3424852;5538788;141413;7200972;6415156;2004608;1051361;14894922;4.10474300385;8.32449507713;1.67281389236;1.69001197815;2.00389695168;2.9211461544;1.70772910118;3.41176080704;676;1173;62;101;325;692;155;657
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3391443;5752218;142738;7200240;6083094;1989421;1041735;15108657;3.91480493546;8.47567296028;1.6464509964;1.64565992355;1.99403190613;2.77278017998;1.69240403175;2.97096300125;629;1189;64;72;302;638;112;491
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3398883;5598561;140729;7201454;6480023;1975677;1077440;15232928;4.3171339035;8.66972708702;1.67424988747;1.68620896339;1.93358898163;2.74921512604;1.7992169857;3.05922985077;734;1239;84;70;273;607;214;535
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3393036;5675878;153513;7200240;6101147;1998482;1038158;15072052;4.41242980957;9.42356681824;1.70391511917;1.64745593071;2.01347303391;2.92349219322;1.68315601349;3.21428585052;740;1347;68;66;316;726;118;585
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3447080;5642494;137647;7193052;6024087;2026989;997271;15370047;4.37179994583;8.68923807144;1.6229159832;1.66875505447;2.03440189362;2.90368795395;1.72715306282;3.34375190735;746;1223;77;61;315;694;175;619
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3418646;5656770;137509;7199400;6379194;1993444;1027577;14994153;4.30332112312;8.46433520317;1.68219304085;1.70213699341;2.01931095123;2.8549041748;1.70347595215;3.18502998352;727;1175;69;80;323;666;135;571
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3455366;5689521;138107;7199400;6308280;1962838;1011394;15218816;4.29424190521;9.21357989311;1.62335395813;1.6609621048;2.00634217262;2.8062069416;1.70564007759;3.21445798874;733;1295;48;72;313;671;123;591
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3516607;5566849;154371;7193400;6515729;2023326;1027776;15282194;3.74109816551;8.91932797432;1.65679478645;1.67997002602;1.97873997688;2.79523301125;1.77097392082;3.0987200737;579;1268;68;68;290;645;161;524
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3416763;5592140;168739;7200240;6603048;1972400;1027136;15152847;4.19073295593;8.83319807053;1.65118980408;1.6642229557;1.93538093567;2.82624602318;1.74604988098;3.43896007538;685;1245;43;80;246;671;189;659
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3400899;5514520;146325;7173770;6296045;2032035;1046917;15067122;4.33136796951;8.84261918068;1.63022184372;1.76937198639;1.95028996468;2.83852005005;1.69829511642;3.38907313347;743;1255;60;155;286;671;115;647
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3445775;5523928;138477;7210433;6229570;1989203;1018086;15154011;4.05534887314;8.85037612915;1.65783405304;1.73695206642;2.01739287376;3.00933098793;1.71669983864;3.33326292038;665;1258;74;145;303;762;146;635
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3427262;5541961;139087;7198668;6199603;1987726;1002652;15069491;4.46361303329;8.31575798988;1.63252806664;1.69709205627;2.05192780495;2.94499182701;1.74899697304;3.38802599907;773;1167;47;107;337;741;171;651
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3391416;5634948;144789;7201454;6477148;2000575;1024657;15193900;4.45715594292;8.72804403305;1.63350510597;1.66575598717;1.98058199883;3.08278393745;1.79043197632;3.28861618042;779;1255;54;73;297;778;221;615
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3431516;5593346;137509;7200240;6168505;2032696;994782;15562469;4.32782912254;8.82604789734;1.65480709076;1.67781090736;1.99247288704;2.98173809052;1.72506904602;3.58533596992;739;1262;83;70;312;728;173;720
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3441031;5561680;154224;7426839;6343590;1988347;1025959;15223796;4.05563592911;9.07077002525;1.67564678192;1.72449994087;1.96819710732;2.80146193504;1.76280617714;3.14387106895;667;1295;90;125;302;664;197;563
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3394985;5518394;142043;7200972;6080671;2042464;1068421;15236067;4.49928712845;8.34385681152;1.62682104111;1.65253996849;1.97906303406;2.83685302734;1.69619989395;3.05763697624;798;1174;45;54;287;656;136;519
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3421858;5553144;142803;7199400;6406770;2038610;1014311;15182950;4.21400403976;8.69862699509;1.62189292908;1.68424582481;1.95711803436;2.98525309563;1.711124897;3.32552409172;706;1210;64;87;298;728;141;624
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3388948;5639138;139173;7202568;6160555;2047277;1006393;15093690;4.11536192894;9.24249696732;1.72647595406;1.6486389637;2.03525209427;3.01853680611;1.75781798363;3.36065196991;678;1312;101;44;314;764;177;638
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3470931;5656701;140531;7200240;6072237;1991312;1021249;15129873;4.01352000237;9.04147100449;1.6551129818;1.71634316444;2.12053489685;2.73008298874;1.74374294281;3.09726691246;658;1284;67;89;361;610;174;550
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3414251;5699954;162883;7198668;6132855;1973140;1005166;15112711;4.52020692825;8.54393601418;1.62492990494;1.70552206039;1.99469304085;2.85109901428;1.69261598587;3.23370909691;790;1196;57;102;314;678;135;586
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3407694;5588438;143975;7200240;6063261;2055900;1046804;14949658;4.29979705811;8.91321110725;1.64623808861;1.64064884186;2.00581502914;2.80781006813;1.68208479881;3.33024907112;736;1272;96;73;316;637;103;632
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3372003;5616840;142803;7193052;6296237;1992961;1059743;14948995;4.29656887054;8.91912889481;1.62768912315;1.65184497833;1.98075604439;2.85258698463;1.69530701637;3.4042840004;732;1281;49;73;302;675;120;645
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3420108;5581660;138200;7209051;6394288;2016670;1047736;15059620;4.45288014412;9.51846313477;1.65179204941;1.69992995262;1.98618984222;2.75737714767;1.77620100975;3.44137597084;779;1362;52;67;311;621;194;640
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3406642;5631174;152572;7200240;6175105;1954542;1117250;14867305;4.01117396355;8.44446182251;1.63213205338;1.66331601143;1.96992492676;2.68861699104;1.71536684036;3.26018595695;652;1187;67;66;283;597;123;604
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3407519;5663450;144188;7192320;6099453;2008867;1019611;15513690;3.9609670639;8.73960709572;1.62476611137;1.65212798119;2.02546191216;2.80739498138;1.72065496445;3.12998890877;633;1221;54;53;293;632;134;545
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3462938;5489703;144052;7200240;6097123;2068271;993177;15021101;4.65330004692;8.83845210075;1.65451002121;1.66279911995;2.06722307205;2.95538496971;1.75840997696;3.34346985817;826;1226;57;88;347;713;169;641
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3482462;5525840;142628;7200240;6065126;2014526;1023263;14880457;3.99054288864;8.08065295219;1.64363098145;1.62667798996;2.03435707092;2.96584105492;1.74569797516;3.2635819912;638;1115;46;71;344;730;139;615
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3443844;5566969;137852;7200972;6321238;1971292;1026596;14998652;4.01424098015;9.29766798019;1.67449998856;1.69347906113;2.00908613205;2.90479493141;1.7269308567;3.34298586845;639;1343;74;48;326;692;157;636
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3349286;5666750;137308;7199400;6104360;2013456;1010864;15369667;4.11804509163;9.22170996666;1.65853595734;1.6430079937;1.94649410248;2.65931606293;1.70547819138;3.35337209702;669;1307;89;50;277;577;135;629
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3436600;5634280;163269;7200972;6357087;2025666;968676;14936898;4.15284395218;8.29957509041;1.6980381012;1.68004989624;2.01311898232;2.69954204559;1.79965901375;3.5697889328;680;1184;121;81;316;581;227;731
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3471066;5615982;141609;7193052;6158685;1962952;1006535;15219334;4.20320701599;9.65958499908;1.69782805443;1.73032999039;2.01226615906;3.25007677078;1.76049304008;3.16508793831;709;1408;123;104;306;870;176;572
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3397020;5530400;138560;7201320;6232684;2001357;1015011;15367357;4.17138886452;8.62872505188;1.64746809006;1.71124386787;1.95709681511;2.77322793007;1.71537303925;3.03111100197;705;1205;62;77;293;631;152;518
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3437059;5488353;141724;7198668;6260306;2011514;1021658;15127794;4.32934904099;9.20399188995;1.69126605988;1.72130084038;2.02853298187;2.9126060009;1.6596429348;3.36327886581;710;1325;94;122;346;719;107;624
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3420111;5551306;161528;7199400;6124565;2062183;1010492;14760147;4.54400920868;8.43898296356;1.64197993279;1.68904900551;2.06150007248;2.88969111443;1.7553498745;3.33132505417;787;1196;52;69;356;673;192;627
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3383577;5619549;136546;7200972;6182155;1981254;1020863;14907585;4.0531899929;9.09473180771;1.63511419296;1.68823504448;2.00896000862;2.80196881294;1.7568359375;3.28704404831;671;1291;59;77;306;641;154;631
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3421603;5663900;142043;7200240;6101657;1987013;973768;15008521;4.04425692558;8.78467488289;1.64224886894;1.66357803345;2.09232282639;2.78302192688;1.76597213745;3.25080513954;654;1236;53;75;371;649;186;610
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3466954;5522066;153417;7214764;6130704;1983074;1079280;15324609;3.87085413933;9.18181180954;1.64224886894;1.81089186668;2.01410913467;2.83482599258;1.69470906258;3.10409617424;631;1278;78;189;321;680;127;553
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3410787;5598797;140300;7192320;6126113;1983145;1037812;15274553;4.2805109024;8.4308450222;1.63362503052;1.64809989929;2.05544090271;3.11697387695;1.69568014145;3.2758769989;737;1187;73;66;341;813;151;608
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3443144;5676157;142043;7200240;6115714;1953033;977783;15033643;3.9728372097;8.43385601044;1.69236898422;1.71710205078;2.02154111862;2.83647680283;1.82862186432;3.26770114899;650;1180;75;102;321;633;219;605
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3464420;5535095;168656;7192320;6350153;2022672;1068005;14937656;3.62651085854;9.83877491951;1.65713095665;1.62519192696;1.9973077774;2.89148306847;1.70431995392;3.0846619606;559;1436;81;59;309;690;120;540
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3380206;5542204;142803;7193052;6253989;2020904;999156;15312574;4.20708298683;8.86884498596;1.63830304146;1.65502500534;2.0096578598;2.8426220417;1.75258111954;3.20161795616;711;1258;51;50;326;680;160;578
28536548;134792339;558778;13437654;16801647;33439101;8670796;83873134;3469484;5605038;137308;7199400;6289070;1961884;1005801;15029201;4.3780310154;8.09532213211;1.66635990143;1.72604298592;2.04327106476;2.84137296677;1.67804980278;3.1923429966;761;1122;66;89;353;680;105;584
