in2initial;in3initial;in7initial;in5initial;in0initial;in1initial;in4initial;in6initial;in2final;in3final;in7final;in5final;in0final;in1final;in4final;in6final;in2time;in3time;in7time;in5time;in0time;in1time;in4time;in6time;in2count;in3count;in7count;in5count;in0count;in1count;in4count;in6count;in2imp;in3imp;in7imp;in5imp;in0imp;in1imp;in4imp;in6imp
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6428543;5667427;15127404;147315;1009453;2034304;3429549;3.11425995827;3.17237997055;9.7846429348;4.39868712425;2.94286084175;3.25793218613;4.79955291748;3.99363613129;52;172;1380;455;75;103;693;535;1.8664963747;2.61360109126;23.7836921411;5.54444992677;3.79308284968;8.58959852514;16.4376125692;8.32078736883
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7178260;6214393;5556824;15182726;139149;1012263;2047813;3413160;2.9258658886;3.31830096245;10.4327030182;4.83738493919;3.20477485657;3.07509493828;4.47158002853;6.07258009911;92;221;1408;586;89;125;558;815;1.87199321284;2.70366663325;24.2570826429;5.52424735848;4.01568103256;8.56575415678;16.3291770293;8.36074136577
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6092127;5642253;15095877;140771;1063958;1990349;3385800;3.070333004;3.54589319229;9.42693281174;4.72084617615;2.76788520813;3.10242486;3.69158411026;5.63923501968;55;242;1240;524;54;113;673;665;1.8664963747;2.75792789612;23.8898076708;5.55602923898;3.96941131341;8.1495660543;16.800621901;8.42830291216
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199988;6148011;5555935;15023958;136816;999404;1981993;3434508;3.15532207489;3.39127993584;9.03381514549;4.41788482666;3.28187012672;3.09062004089;4.54311919212;5.76767706871;66;285;1164;496;73;108;666;689;1.86634394391;2.73285896853;24.2609639962;5.5826256969;4.08415682376;8.67596687626;16.8714526237;8.30877319255
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7409205;6376976;5578151;15384393;143785;1050952;2014704;3426456;2.60261082649;3.37210488319;10.003677845;4.56387901306;3.02570605278;3.15541386604;4.43289518356;4.66494297981;93;240;1333;502;56;159;655;496;1.81364316415;2.63473580581;24.1643402984;5.45183251624;3.88620509789;8.25042057106;16.5975254926;8.32829839344
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200240;6273453;5534492;15094869;147790;1008824;2035936;3432981;3.2424929142;3.2086019516;10.1306419373;5.12563109398;2.69095921516;3.23345112801;5.87307476997;5.07596278191;81;236;1356;645;51;111;675;615;1.86627862405;2.67821357712;24.3549613948;5.5564002576;3.78089180594;8.5949541248;16.4244362298;8.31246895919
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;5970238;5574133;15149961;143938;1001385;2038074;3384795;2.84858298302;2.85029602051;8.64819097519;4.89419984818;3.02213096619;3.22570896149;4.95451307297;5.76875305176;52;151;1167;536;51;122;774;710;1.86608891133;2.81423403891;24.1817586699;5.53619471364;3.8820742264;8.65880355707;16.4072065097;8.43080541067
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;6412485;5612581;15083495;137686;1015697;1997030;3439483;3.18366098404;3.2796459198;9.59817481041;4.95162177086;3.21719789505;3.17259287834;4.52003312111;5.5879778862;78;188;1327;586;55;91;596;672;1.86608891133;2.62014601204;24.0161057809;5.56059016826;4.05835015906;8.53679394544;16.7444159577;8.29675506464
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200240;6229872;5539470;15280944;144402;1039910;1990874;3410514;3.24303507805;3.47235202789;8.88185191154;4.6174530983;3.15040707588;2.96767902374;4.58990693092;5.35892105103;82;265;1135;488;69;100;598;607;1.86627862405;2.69694899028;24.3330750054;5.48874035531;3.86960014404;8.33802540604;16.7961915219;8.36722793104
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;6173064;5614639;15355743;138092;1040064;1982783;3420487;2.86595416069;3.34717607498;9.61541295052;4.34770202637;2.92300987244;3.11291503906;4.88609719276;5.13733816147;85;268;1251;447;64;101;693;597;1.86608891133;2.72176782875;24.0073028738;5.46200428074;4.04641832981;8.33679081287;16.8647305328;8.3428318833
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7209051;6324930;5542083;14934472;143754;1013691;2019527;3490023;3.1709690094;3.55059289932;10.0982179642;4.7062330246;3.05367302895;2.98302507401;4.58506798744;5.392608881;96;235;1350;539;53;107;614;642;1.86399763298;2.65641627654;24.321602365;5.61607628311;3.88704314315;8.55368746492;16.5578875648;8.1766074321
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200240;6108723;5462741;15120481;141207;1054161;1983884;3423266;2.932117939;3.45837306976;9.34646320343;4.67976999283;3.29882693291;3.00006008148;4.8275449276;5.76392698288;65;242;1211;503;76;133;714;690;1.86627862405;2.75043523827;24.6748544366;5.54698848535;3.95715509854;8.22530524275;16.8553710802;8.33605919026
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;6113200;5708018;15511685;142803;994333;1982533;3463153;3.05396199226;3.47501802444;9.68234801292;4.61315202713;2.41726899147;3.12320399284;4.54669213295;6.3281378746;62;199;1273;504;39;129;517;824;1.86608891133;2.74842095793;23.6145609562;5.40709368454;3.91292900009;8.72021344962;16.8668571973;8.2400483028
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;6390558;5627062;15305287;136132;1019489;1983490;3398559;2.93462491035;3.31143593788;9.16901111603;4.60251688957;3.23331594467;3.20816802979;4.91060400009;5.28140592575;73;172;1146;500;112;110;661;628;1.86608891133;2.62913614116;23.9543013743;5.48001053492;4.10467781271;8.50504125106;16.8587192272;8.39666105546
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200240;6070991;5614759;14981686;138101;1014288;1993095;3423408;2.82065010071;3.33345317841;8.85278010368;4.67184591293;3.23812413216;3.26193594933;5.01471805573;5.07002520561;48;186;1148;524;79;126;734;652;1.86627862405;2.7675295516;24.0067897839;5.59837751238;4.04615462596;8.54865284811;16.7774747315;8.33571341774
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7204670;6102436;5549648;14905447;151829;985957;1982178;3398727;2.71976399422;3.34932303429;8.81186485291;4.80251908302;3.10619306564;3.11243915558;4.51376891136;4.94493079185;80;243;1302;556;81;115;605;570;1.86513108859;2.75326885853;24.2884483845;5.62701232643;3.68031140296;8.7942942745;16.8698779827;8.39624600623
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;6288502;5659606;15181014;139702;1024353;2053276;3451205;3.18186402321;3.26723694801;9.3946750164;5.05029296875;2.99501895905;3.23461890221;4.78682208061;5.28672099113;76;190;1233;567;65;156;651;613;1.86608891133;2.67180435023;23.8165587852;5.52487034134;3.99978525719;8.46465622691;16.2857311925;8.26857517881
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7194624;6186844;5511830;15063163;140951;1064265;1967118;3417417;2.61994290352;3.46986889839;8.71702694893;4.55137395859;3.25541305542;3.16946005821;5.08655309677;5.80913090706;46;225;1148;549;58;141;756;686;1.86773540911;2.71570561663;24.4550973089;5.56809575784;3.96434221822;8.14721521426;16.9990315782;8.35032657706
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6105671;5645993;15232100;141494;1070164;1994400;3395973;3.00550699234;3.12787914276;9.38185596466;4.53527498245;3.02465486526;3.19861197472;4.92636179924;5.42586302757;58;211;1270;572;59;153;741;665;1.8664963747;2.75181007951;23.8739826635;5.50634081972;3.94912858496;8.10230581481;16.7664966907;8.40305503018
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6358223;5470670;14932424;138296;989958;2003610;3444974;2.98087406158;3.45921802521;9.41923809052;5.15786194801;3.22131896019;2.73247003555;4.70175504684;4.65003299713;50;220;1222;626;77;89;684;713;1.8664963747;2.64250671925;24.6390915555;5.61684653476;4.0404494707;8.75875138137;16.6894260859;8.28353073202
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7198668;6340073;5524569;14974163;137119;1034177;1983714;3394339;3.13443994522;3.52250695229;9.57462191582;4.83583211899;3.22152209282;3.12486314774;4.6816470623;5.2791659832;75;255;1223;606;90;88;650;598;1.86668617027;2.65007153703;24.3987067588;5.60119012996;4.07513181981;8.38424757077;16.856815549;8.40710017473
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7136394;6407053;5608847;15143280;141404;977140;2019307;3450315;3.07402586937;3.07992005348;8.59115815163;4.28408312798;2.60563802719;2.89851284027;4.7547018528;5.50840997696;112;144;1130;459;52;116;696;613;1.88297535142;2.62236741291;24.0320941185;5.53863720409;3.95164210348;8.87364758376;16.5596915179;8.2707080368
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6069116;5614510;14934876;138204;998070;2022492;3379456;3.10436010361;3.54475212097;8.44424986839;4.6703441143;3.11547899246;3.06745100021;4.56524205208;5.56092691422;61;303;1146;515;83;131;622;651;1.8664963747;2.76838455551;24.0078544699;5.61592436388;4.04313912767;8.68756299658;16.5336134828;8.44412473487
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6365339;5661478;15027147;141048;1014343;2005651;3448819;3.04195594788;3.45212817192;9.85073709488;4.96494197845;2.99678397179;2.94909882545;4.77129912376;5.59001588821;50;240;1289;574;58;79;687;679;1.8664963747;2.63955258314;23.8086837041;5.58144097479;3.96161590381;8.54818932057;16.6724425137;8.27429563569
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7152043;6048826;5536873;14995953;141155;993170;1976623;3443498;2.85342502594;3.72658801079;9.11445808411;4.65101289749;2.83768510818;2.83394503593;4.86997890472;5.98420190811;77;282;1357;564;58;87;704;725;1.87885531449;2.7776707414;24.3444881253;5.5930512719;3.95861287237;8.73042480139;16.9172882234;8.28708133415
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7200972;6388352;5559089;15105242;137686;986015;2018940;3437230;2.69081020355;2.85154795647;10.0792469978;4.61377000809;3.03536200523;3.19837117195;4.95565700531;5.56789207458;56;186;1362;501;82;123;745;642;1.86608891133;2.63004402387;24.2471993163;5.55258459282;4.05835015906;8.79377697094;16.5627017148;8.30219333591
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7199400;6365614;5488177;14942303;141895;1019355;2032646;3374205;2.08313107491;3.38334393501;9.29338502884;5.04679489136;3.12169694901;3.11013698578;4.68389797211;5.54058909416;86;221;1171;661;71;90;621;664;1.8664963747;2.6394385522;24.5604941313;5.61313299563;3.93796821593;8.506159287;16.4510204925;8.45726563739
13437654;16801647;134792339;83873134;558778;8670796;33439101;28536548;7221613;6122733;5508705;15234829;142913;995788;1970030;3446597;3.1329870224;2.86305904388;10.0872159004;3.96880197525;2.91427397728;3.00401186943;4.68244600296;5.55136203766;68;188;1329;597;45;127;604;691;1.86075520801;2.74414170927;24.4689702934;5.50535447428;3.90991722237;8.70747187152;16.9739044583;8.27963002347
