in2initial;in5initial;in1initial;in6initial;in4initial;in7initial;in0initial;in3initial;in2final;in5final;in1final;in6final;in4final;in7final;in0final;in3final;in2time;in5time;in1time;in6time;in4time;in7time;in0time;in3time;in2count;in5count;in1count;in6count;in4count;in7count;in0count;in3count;in2imp;in5imp;in1imp;in6imp;in4imp;in7imp;in0imp;in3imp
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7200972;15329919;1011277;3405560;2010460;5546324;138200;6129689;2.2355799675;3.96041607857;2.6062040329;4.04058694839;4.22352099419;7.50489187241;2.48064112663;3.09809708595;81;537;185;660;707;1148;90;327;1.86608891133;5.47120529469;8.57410580879;8.37939957011;16.6325621997;24.3030048371;4.04325615051;2.74102764431
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7426868;15448941;1044119;3360484;1992888;5570514;143955;6403909;2.51066803932;3.56415295601;2.50925302505;4.19266700745;3.97287511826;9.1442668438;2.4102678299;2.8928399086;138;481;150;590;678;1463;50;290;1.80932985479;5.42905393968;8.30441357738;8.49179701495;16.7792173971;24.1974688512;3.88161578271;2.62365486455
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7199400;14938998;1013600;3450940;2038968;5624786;147770;5895911;2.34874296188;4.23972392082;2.53500294685;4.47367691994;4.11626791954;6.8195950985;2.45408201218;2.66940903664;79;624;149;623;713;967;81;252;1.8664963747;5.61437480613;8.55445540647;8.26921012825;16.4000126535;23.9639941857;3.78140353252;2.84971177482
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7200240;15393453;1024719;3458414;2034350;5611849;136813;6216825;2.48361706734;3.57408094406;2.44614601135;4.99807715416;3.68174386024;8.02909898758;2.43592596054;2.8859808445;121;464;147;738;665;1253;64;279;1.86627862405;5.44862377532;8.46163289643;8.25133948683;16.4372408878;24.0192384007;4.0842463801;2.7026089684
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7200972;15231559;978781;3430619;2024323;5513287;140771;6386862;2.51860404015;3.91594099998;2.58659100533;3.69411611557;3.43054699898;8.14780187607;2.43739914894;2.8758289814;88;600;171;561;618;1312;47;307;1.86608891133;5.50653639591;8.85877024585;8.31819213967;16.5186588306;24.4486345441;3.96941131341;2.63065759054
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7122430;15247616;963785;3410900;2001323;5598069;143526;6274939;2.68550610542;3.96040010452;2.66309809685;4.34756493568;3.9841799736;8.38137197495;2.53403115273;2.76453113556;163;522;197;728;642;1320;122;239;1.88666705043;5.50073755792;8.99660816468;8.36628104019;16.7084978287;24.0783632713;3.89321795354;2.67757933583
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7411401;15222261;1030728;3431567;1960448;5584324;138200;6365578;2.56254386902;3.44833087921;2.52995419502;5.21738791466;4.05504703522;7.74240708351;2.4425868988;2.65946412086;121;460;128;811;700;1205;90;225;1.81310578121;5.50989987624;8.41230276077;8.3158941673;17.0568671038;24.1376286548;4.04325615051;2.63945347932
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7150175;15431021;1004090;3438651;1960040;5659161;140422;6516658;2.62931513786;3.67561101913;2.58184504509;4.29800891876;4.36872696877;7.86772298813;2.45320415497;2.76195192337;145;507;140;603;726;1267;67;245;1.87934616985;5.4353586843;8.63547689948;8.2987625089;17.0604176445;23.8184315661;3.97927675151;2.57826128055
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7199988;15203928;1004727;3473590;2049181;5576257;138092;6298628;2.47872495651;3.85470104218;2.25688481331;4.53971385956;3.88441205025;7.95106005669;2.20698690414;2.9299929142;86;560;85;626;596;1166;72;288;1.86634394391;5.51654375106;8.63000198064;8.2152896571;16.3182759356;24.172547822;4.04641832981;2.66750901942
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7413385;15229243;985419;3396601;1979665;5611627;144252;6268649;2.36908507347;3.90465402603;2.51726388931;4.72346901894;3.21384906769;8.62536597252;2.41583704948;3.00773096085;105;513;159;693;572;1343;78;274;1.81262055053;5.50737380709;8.79909561314;8.40150138329;16.8912927187;24.0201886191;3.87362393589;2.68026603499
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7200972;15092282;1004110;3407864;1993928;5610760;143436;5924573;2.44908213615;4.00045800209;2.59085392952;3.9215221405;3.9532251358;8.21149611473;2.46671915054;3.09125995636;95;520;175;583;666;1228;41;347;1.86608891133;5.55735269193;8.63530489687;8.37373439785;16.7704656337;24.0239003272;3.89566078251;2.83592539074
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7429338;14996139;991985;3451811;1988140;5500804;142929;6207340;2.3401260376;4.07803606987;2.35361790657;4.40022110939;4.3016731739;8.08083796501;2.54929995537;2.7628068924;154;563;130;620;687;1240;55;276;1.80872831469;5.59298190021;8.74085394436;8.26712354761;16.8192888831;24.5041159438;3.9094795318;2.70673863523
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7169922;15281189;993108;3424937;2007459;5555764;144188;6334883;2.55495405197;3.85486698151;2.47426390648;4.74139809608;4.21260905266;7.6705300808;2.31830811501;2.90728282928;129;547;114;705;802;1211;81;281;1.87417017926;5.48865235552;8.73096984417;8.33199209212;16.6574266274;24.2617107206;3.8753433018;2.65224266968
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7199400;15410626;1006735;3389792;1941564;5601371;149606;6135398;2.44202494621;3.6347630024;2.52423787117;4.42117595673;4.23483395576;7.51256990433;2.32569694519;2.89959788322;96;498;174;595;744;1139;60;296;1.8664963747;5.44255204169;8.61278886698;8.41837729277;17.2227652552;24.0641691115;3.73499725947;2.73847711265
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7222948;15008532;1014210;3407454;1989804;5555227;138092;6705241;2.59642696381;4.31701517105;2.61875510216;4.85178494453;3.94189405441;7.62831282616;2.35019278526;2.69540095329;151;643;130;707;617;1167;68;224;1.86041128913;5.58836360545;8.54931030063;8.37474196277;16.8052235296;24.2640559963;4.04641832981;2.50574841382
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7199400;15259280;974495;3424254;2014719;5550613;142803;6169448;1.51041913033;2.96896719933;2.61151313782;4.42519712448;3.72625184059;9.27510499954;2.37418889999;2.50160002708;129;449;152;618;618;1435;40;248;1.8664963747;5.49653286394;8.89773267179;8.33365398712;16.5974019206;24.2842257243;3.91292900009;2.72336309505
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7193052;15376024;1067110;3509006;2028546;5528665;140771;6221673;2.51585507393;3.94801497459;2.75978016853;3.60518407822;3.91326808929;8.93513298035;2.57979393005;2.82186508179;93;525;165;490;624;1387;36;284;1.8681435919;5.45479988845;8.12549409152;8.13237366935;16.4842705071;24.3806305862;3.96941131341;2.70050306405
13437654;83873134;8670796;28536548;33439101;134792339;558778;16801647;7200972;15106224;998265;3414667;1999958;5562394;139427;6112323;2.26508402824;3.87997102737;2.47880601883;4.45475196838;3.99809193611;8.13204193115;2.49006104469;2.88456606865;59;537;130;645;622;1194;58;268;1.86608891133;5.55222363974;8.68586597747;8.35705150751;16.7199016179;24.2327923912;4.00767426682;2.74881530312
