in0initial;in4initial;in1initial;in6initial;in5initial;in7initial;in2initial;in3initial;in0final;in4final;in1final;in6final;in5final;in7final;in2final;in3final;in0time;in4time;in1time;in6time;in5time;in7time;in2time;in3time;in0count;in4count;in1count;in6count;in5count;in7count;in2count;in3count;in0imp;in4imp;in1imp;in6imp;in5imp;in7imp;in2imp;in3imp
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;139340;1980326;1012792;3395238;15277807;5439799;7190886;5935703;2.09622001648;3.07700920105;2.22560095787;3.78383088112;2.84898495674;8.19199299812;2.25761413574;2.26660704613;68;652;156;650;477;1378;122;266;4.01017654658;16.8856546851;8.5612801049;8.40487412075;5.4898673612;24.7789190373;1.86870630406;2.83060776457
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;140791;1968029;1017776;3404271;14898556;5503918;7190886;5895808;2.14904808998;3.14965891838;2.27446603775;3.93559193611;3.0738298893;8.63343381882;2.12045383453;2.23447990417;91;664;163;702;487;1493;137;238;3.96884744053;16.9911627318;8.51935592901;8.38257236278;5.62961497745;24.490252035;1.86870630406;2.8497615594
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;141356;1978996;993578;3455847;15206175;5722032;7192320;6385552;2.25562906265;3.31997108459;2.20822095871;4.22709488869;2.9994301796;8.02775502205;2.06082177162;2.24540400505;59;733;129;782;496;1332;76;219;3.9529839554;16.8970028237;8.72683976497;8.25746857427;5.51572857737;23.5567258275;1.86833372264;2.63119727159
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;138623;2010210;1006936;3442356;15487164;5456839;7194790;6116864;2.09373807907;2.94732904434;2.10047698021;3.95365405083;2.86714816093;7.61672496796;2.13274288177;2.06241583824;74;640;117;715;495;1268;113;182;4.03091839017;16.6346307102;8.61106962111;8.28983056953;5.41565479645;24.7015422299;1.86769231625;2.74677465446
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;140808;2031587;1020617;3399042;15060019;5495435;7199400;6207446;2.20181298256;2.86998009682;2.25971698761;3.83836293221;3.16312599182;7.41743707657;2.06031608582;2.21525406837;73;626;136;641;580;1259;39;249;3.96836827453;16.4595958726;8.49564136204;8.39546789948;5.56925817955;24.5280562867;1.8664963747;2.70669241424
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;138092;2018541;1009056;3491499;14872646;5622358;7183122;6253355;2.19176912308;3.33509802818;2.17076921463;3.7200858593;3.40380692482;8.01403188705;2.16659498215;2.13425588608;65;777;139;677;635;1355;136;236;4.04641832981;16.565975623;8.59297799131;8.17315084438;5.63942246726;23.9743429714;1.87072612716;2.68682123436
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;152551;1990419;1014506;3429144;15007593;5593630;7215981;6245943;2.24089598656;2.81667494774;2.26027083397;3.76613306999;3.1608440876;7.74743890762;2.17695403099;2.06147694588;50;598;122;688;555;1319;88;216;3.66289306527;16.8000310487;8.54681588872;8.32177009773;5.58871326001;24.0974714094;1.86220750858;2.69000965907
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;136816;1950810;987074;3373506;15229300;5526577;7200240;6048607;2.0520670414;3.44698905945;2.15932893753;4.3294570446;3.29851102829;7.31046199799;2.16808390617;2.65408992767;45;770;178;807;589;1242;98;284;4.08415682376;17.1411367586;8.78434240999;8.45901800679;5.50735319417;24.3898418497;1.86627862405;2.77777131164
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;136517;2019714;977484;3445025;14648705;5651211;7200240;6041875;2.04118108749;3.31175208092;2.08752894402;3.91848087311;3.20607280731;7.51635694504;2.11061692238;1.92052602768;68;738;149;536;580;1271;53;365;4.093101958;16.5563545136;8.87052473493;8.28340810299;5.72563472334;23.8519388145;1.86627862405;2.78086637013
558778;33439101;8670796;28536548;83873134;134792339;13437654;16801647;142280;2019105;1025935;3388825;14946445;5615067;7200240;6071932;1.38220405579;2.69043302536;2.09523510933;4.23662114143;3.48937702179;6.53640508652;2.04442620277;2.3167579174;94;552;169;800;682;1089;52;312;3.92731234186;16.5613482211;8.4516036591;8.42077947371;5.61157746876;24.0054729534;1.86627862405;2.76710065264
