in1initial;in5initial;in7initial;in6initial;in2initial;in3initial;in0initial;in4initial;in1final;in5final;in7final;in6final;in2final;in3final;in0final;in4final;in1time;in5time;in7time;in6time;in2time;in3time;in0time;in4time;in1count;in5count;in7count;in6count;in2count;in3count;in0count;in4count;in1imp;in5imp;in7imp;in6imp;in2imp;in3imp;in0imp;in4imp
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;982445;15040345;5664270;3412616;7193052;6190261;136911;2015323;1.33871197701;3.69050097466;10.5071160793;5.94552707672;1.44059419632;1.9752497673;1.3466501236;3.17020010948;184;608;1255;895;113;378;106;638;8.82573172035;5.57654322424;23.7969480622;8.36207413902;1.8681435919;2.71420655769;4.0813229032;16.5924276158
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;1022253;15181213;5577632;3394567;7192320;6151915;139340;2004923;1.29288315773;3.52269506454;11.3080880642;4.70835614204;1.20737504959;1.71040797234;1.19912981987;3.32544589043;157;545;1344;652;101;286;102;640;8.48204505147;5.52479791964;24.1665887961;8.40653550217;1.86833372264;2.73112469857;4.01017654658;16.6784963812
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;1004633;14740127;5658930;3473053;7192320;6217337;137627;2011534;1.36371803284;4.56310200691;10.6570210457;4.98700523376;1.24819302559;1.85036206245;1.16561102867;3.59286093712;188;801;1278;704;114;332;98;769;8.63080945977;5.690122887;23.8194038449;8.21655989701;1.86833372264;2.70238640756;4.06008995328;16.6236817275
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;1028016;15336110;5613684;3461980;7192320;6151175;140220;2035200;1.43410992622;3.68598198891;10.7429118156;5.20154500008;1.23776698112;1.8436191082;1.15820002556;3.49963903427;168;587;1305;761;107;330;93;694;8.43449518295;5.46899663604;24.0113869965;8.24284022438;1.86833372264;2.73145325893;3.98500927115;16.4303758844
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;976464;15125436;5671367;3493554;7192320;6250140;144617;2020207;1.29380011559;3.7482111454;10.1077289581;4.9769821167;1.21402096748;2.04401397705;1.28181600571;3.10106015205;162;580;1185;737;89;366;98;614;8.87979075521;5.54517132597;23.7671691851;8.1683431829;1.86833372264;2.68820330425;3.86384726554;16.5523141935
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;1018744;15130807;5643946;3450777;7193052;6225463;142602;2028704;1.40816783905;4.55447411537;10.6187791824;5.62726712227;1.24863886833;2.02986001968;1.18203401566;3.48294901848;153;792;1270;830;111;367;111;729;8.51126092522;5.54320295011;23.8826415065;8.2696007305;1.8681435919;2.69885902462;3.91844434159;16.4829866752
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;1014164;15249799;5645119;3446445;7193052;6330636;145706;2003327;1.331387043;4.58361911774;10.7869231701;5.44688892365;1.21830010414;1.94795203209;1.16846108437;3.16752004623;173;778;1296;820;97;365;90;622;8.54969807645;5.49995013049;23.8776789294;8.27999518344;1.8681435919;2.65402196557;3.83496904726;16.6917837178
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;1014164;15622854;5633753;3431386;7193052;6361719;148789;2007979;1.44903302193;3.71957993507;10.5730388165;5.22157692909;1.3823029995;1.92307806015;1.17508411407;3.56748509407;184;609;1271;758;117;344;98;734;8.54969807645;5.36861792346;23.9258517368;8.31633281712;1.8681435919;2.64105456403;3.7555061194;16.6531129061
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;974673;14894732;5598943;3395953;7193052;6223916;141271;1999887;1.48845291138;3.68313288689;10.7433569431;4.7655851841;1.27144312859;2.01529502869;1.29829216003;3.33411502838;220;606;1279;685;115;334;89;644;8.89610772023;5.63106029702;24.0746046173;8.40310451882;1.8681435919;2.69952984584;3.9553623886;16.720495208
8670796;83873134;134792339;28536548;13437654;16801647;558778;33439101;992526;15188597;5658417;3412084;7193052;6349039;138463;2013441;1.3883459568;3.64508199692;10.7633128166;4.31711602211;1.20930099487;1.95220208168;1.1995871067;3.21668791771;214;569;1270;596;93;372;113;651;8.73608953317;5.52211201601;23.8215633454;8.36337792387;1.8681435919;2.64632915312;4.03557629114;16.6079368603
