in7initial;in0initial;in2initial;in5initial;in3initial;in4initial;in1initial;in6initial;in7final;in0final;in2final;in5final;in3final;in4final;in1final;in6final;in7time;in0time;in2time;in5time;in3time;in4time;in1time;in6time;in7count;in0count;in2count;in5count;in3count;in4count;in1count;in6count;in7imp;in0imp;in2imp;in5imp;in3imp;in4imp;in1imp;in6imp
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5556706;142424;7200972;15275053;6183608;1959321;1014067;3425128;8.86741995811;3.12418985367;3.03299307823;4.88984203339;3.82699108124;4.967441082;3.36900401115;6.49741101265;1124;57;99;545;284;647;117;737;24.2575977567;3.92334157165;1.86608891133;5.4908571512;2.71712679717;17.0666782013;8.55051589293;8.33152746408
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5639413;144034;7232739;15280374;5965681;1948617;1065560;3432422;9.67848205566;3.2133140564;3.15935492516;4.64453911781;3.79262089729;5.03481388092;3.26547884941;5.42439579964;1322;73;68;557;273;774;121;612;23.9018385424;3.87948678784;1.85789283977;5.48894510043;2.81638374563;17.1604276264;8.13731371298;8.3138227176
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5663984;139340;7205858;15342329;6162708;2014730;1039375;3433580;9.63794398308;3.37798905373;3.47663402557;4.35078001022;3.71502900124;4.84613108635;3.3385989666;5.42473602295;1217;83;98;419;183;584;95;633;23.798149677;4.01017654658;1.86482359214;5.46677978291;2.72634156932;16.5973113023;8.34231725797;8.31101882001
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5504376;142684;7199400;15094913;6252894;1984513;995774;3379264;8.91642403603;3.19875884056;3.33277511597;4.88936209679;3.75245404243;4.27531099319;3.37405896187;5.87723016739;1150;58;78;551;192;630;120;707;24.4882142862;3.91619242522;1.8664963747;5.55638406131;2.68701932257;16.8500286972;8.70759429348;8.4446045056
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5692946;141462;7200972;15119703;5955096;2001133;1008564;3402179;9.61983084679;4.1789059639;3.46151089668;4.97874593735;3.66608309746;4.76931500435;3.42342615128;5.79961490631;1303;61;86;535;213;622;120;707;23.6770801971;3.95002191401;1.86608891133;5.5472739114;2.82138978112;16.7100842373;8.59716983751;8.38772680685
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5662087;138679;7200012;15172015;6358649;2012466;1004095;3428455;8.83895802498;3.242800951;3.35860395432;5.05503821373;4.85241508484;4.02044892311;3.56169605255;5.75519299507;1161;86;83;568;240;698;136;666;23.8061229013;4.02929066405;1.86633772277;5.52814731596;2.64232968355;16.6159830775;8.63543389819;8.32344248357
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5565325;138995;7194024;15191604;6220134;2008671;986928;3440619;9.96607494354;4.38574409485;3.28605985641;4.98091602325;3.65543317795;4.56238698959;3.589427948;5.28497004509;1359;80;80;596;258;561;156;567;24.2200300971;4.02013022051;1.86789118302;5.52101897864;2.70117122879;16.6473758022;8.78564191106;8.29401569892
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5621274;139340;7200372;15152092;6179595;2011139;1004059;3475185;9.64239692688;3.12059807777;3.39480304718;4.87303209305;3.4426009655;4.93808794022;3.64947605133;4.3256509304;1284;69;104;541;203;604;150;534;23.9789661561;4.01017654658;1.86624441071;5.53541609964;2.71889128656;16.6269467202;8.63574351706;8.21151909898
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5614788;140788;7195704;15302579;6135239;2003530;956974;3443679;8.95583605766;3.22404289246;3.37542414665;4.92191910744;3.72372913361;5.11137604713;3.5462539196;5.51785087585;1086;67;81;525;226;689;175;674;24.0066657904;3.96893201125;1.86745508153;5.4809802975;2.73854808264;16.6900924868;9.06063905602;8.2866457646
134792339;558778;13437654;83873134;16801647;33439101;8670796;28536548;5557457;160510;7201320;15262529;6245370;2050837;1013341;3391233;9.92253398895;2.99561214447;3.51367497444;4.78565812111;3.6253080368;4.61896085739;3.62047815323;5.9339659214;1329;45;89;557;225;604;124;696;24.2543197365;3.48126596474;1.86599873357;5.49536279341;2.69025646199;16.3050993326;8.5566418412;8.41480016265
