in3initial;in1initial;in7initial;in4initial;in0initial;in2initial;in6initial;in5initial;in3final;in1final;in7final;in4final;in0final;in2final;in6final;in5final;in3time;in1time;in7time;in4time;in0time;in2time;in6time;in5time;in3count;in1count;in7count;in4count;in0count;in2count;in6count;in5count;in3imp;in1imp;in7imp;in4imp;in0imp;in2imp;in6imp;in5imp
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;6251094;1054648;5556875;1969442;142085;7171958;3470683;15629632;2.55082511902;2.39713287354;8.10482788086;3.87865996361;2.30671811104;2.40887498856;3.79551291466;3.51675796509;261;96;1325;873;85;122;608;571;2.6877930487;8.22150708104;24.2568600157;16.9789722165;3.93270225569;1.87363813341;8.22217067937;5.36628975014
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;6032166;1041535;5587917;1972024;149159;7426555;3448619;15335013;2.45861506462;1.40937805176;9.00981378555;3.21237897873;2.31544613838;2.38203907013;3.84964299202;3.03024196625;185;144;1479;546;55;109;623;603;2.78534228004;8.32501644208;24.1221082919;16.9567413987;3.74619030699;1.80940611091;8.27477549709;5.46938786423
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;5991143;1068875;5616053;2010122;148772;7426271;3430585;15072039;2.6387720108;2.42605996132;8.1969139576;3.6533768177;2.46269488335;2.42516803741;3.94442892075;2.97927999496;295;129;1354;787;53;122;575;455;2.80441428288;8.11207671617;24.0012583571;16.6353589484;3.75593525663;1.80947530732;8.31827457999;5.56481667809
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;5935420;1081946;5533337;2033002;144617;7185610;3446159;15203878;2.59737992287;2.31180000305;7.95846009254;3.86857414246;2.35440516472;2.32800912857;3.92491602898;3.67524695396;267;137;1292;830;48;157;612;590;2.83074272756;8.01407463958;24.3600451229;16.4481397461;3.86384726554;1.87007839279;8.28068234809;5.51656189296
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;6213791;1085004;5532800;1974848;142482;7415686;3423590;15363102;2.30744695663;2.24874806404;7.54472088814;3.85588312149;2.40694284439;2.46247315407;3.39000487328;3.38146018982;159;91;1339;832;78;130;479;543;2.70392856792;7.99148758899;24.3624094491;16.9324935387;3.92174450106;1.81205811573;8.33527028645;5.45938795433
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;5966593;1076327;5586707;1994591;144075;7173172;3438938;15391904;2.81448292732;2.26642489433;7.65716314316;3.56305599213;2.4052491188;2.36948609352;4.038408041;3.53974199295;276;89;1344;750;65;122;666;606;2.81595325842;8.05591237607;24.1273327919;16.7648911481;3.87838278674;1.87332103566;8.2980699274;5.44917211022
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;5991684;1014698;5606815;1992252;138060;7429573;3450377;15129751;2.65031194687;1.57451415062;7.23953700066;3.95564699173;2.33469891548;2.55736804008;3.6830830574;3.44175815582;251;158;1167;843;77;106;553;592;2.80416106724;8.54519866995;24.0408037362;16.7845739394;4.04735622193;1.80867110398;8.27055942003;5.54358984494
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;6180604;1026715;5479037;2027073;153403;7190886;3433816;15222642;2.47416496277;2.40024900436;8.64156889915;3.21691179276;2.38018608093;2.56824183464;3.62518501282;3.13574910164;230;143;1453;610;75;108;560;455;2.71844742035;8.44518293782;24.601465367;16.4962490251;3.64254936344;1.86870630406;8.31044761863;5.50976197167
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;6145532;1016963;5644248;1963688;137524;7132790;3465580;14970676;2.60045790672;2.35327291489;8.07426595688;3.15363192558;2.36096310616;2.42970991135;3.89348816872;3.6279129982;274;157;1280;689;62;95;611;582;2.73396135599;8.52616663536;23.8813636467;17.0287240132;4.06313079899;1.88392676638;8.23427766781;5.60249477044
16801647;8670796;134792339;33439101;558778;13437654;28536548;83873134;6099934;1023672;5515088;2009362;141735;7207971;3396967;15197832;2.6854569912;2.43103694916;7.55813193321;3.50786495209;2.22826504707;2.38550400734;3.85270404816;3.06680512428;295;153;1229;725;65;71;571;440;2.75439816234;8.47028735767;24.4406506297;16.641650932;3.94241365929;1.86427692342;8.40059617889;5.51875649106
