in7initial;in2initial;in4initial;in5initial;in3initial;in0initial;in6initial;in1initial;in7final;in2final;in4final;in5final;in3final;in0final;in6final;in1final;in7time;in2time;in4time;in5time;in3time;in0time;in6time;in1time;in7count;in2count;in4count;in5count;in3count;in0count;in6count;in1count
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5643699;7430261;1997475;15164715;6013814;135408;3459876;995543;7.85723400116;2.96855306625;4.46848702431;3.42314815521;3.43903803825;1.90572214127;5.12233996391;2.84324097633;1206;119;725;537;295;65;643;79
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5580566;7433490;2009131;15272396;6310414;142803;3421769;989382;9.67215204239;2.94591712952;3.25664401054;3.59212398529;3.24733090401;2.80836296082;4.25705695152;2.04417204857;1332;89;629;579;225;40;659;142
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5612558;7200972;1950691;15194178;6283729;138092;3428885;984363;8.94148397446;3.03755688667;3.68161702156;3.61156392097;3.52999901772;2.85335683823;5.53564405441;2.03004407883;1415;83;804;660;284;45;720;111
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5606256;7200972;1993568;15113993;6267768;144197;3374393;1018649;9.20249414444;2.01289701462;3.21382498741;3.70982289314;3.27340912819;3.05680298805;4.22633600235;3.10906291008;1276;87;594;662;226;93;659;92
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5592275;7200240;1962269;15406036;6359761;138838;3435712;1011116;8.0189909935;3.14344096184;3.56496596336;3.78494596481;3.18185114861;3.00468587875;5.32168793678;3.01018404961;1246;95;722;402;190;101;684;87
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5629550;7203202;2006552;15194164;6151195;142803;3407220;1040045;8.97449398041;3.00533699989;3.43778896332;4.04396295547;3.05940198898;2.60119390488;4.07023501396;2.91885113716;1396;124;732;496;172;39;642;77
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5578973;7200972;1996795;15277401;6250893;142803;3433367;1003814;9.46287798882;3.04519581795;4.50562000275;3.28760290146;3.40334200859;2.69465208054;4.31272888184;2.82662415504;1332;72;660;553;239;38;483;98
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5547152;7214317;2037868;15179624;6145082;144783;3424847;999474;8.0474190712;3.00186991692;4.04987215996;4.0969991684;3.30480003357;2.90850996971;5.15536403656;2.10760998726;1234;89;635;538;234;38;612;119
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5585204;7200240;2019433;15288348;6132274;141352;3385883;996778;8.46921491623;2.98249912262;3.85439610481;4.71530508995;3.48044776917;1.91601896286;4.79320693016;2.87993192673;1142;53;543;593;240;54;620;71
134792339;13437654;33439101;83873134;16801647;558778;28536548;8670796;5560529;7194624;1990158;15295207;6260447;139149;3404553;1007912;8.92898607254;2.93465089798;3.18841695786;4.93104314804;3.19756913185;1.85582113266;4.60280919075;2.90738797188;1389;58;627;695;241;57;531;100
