in2initial;in6initial;in5initial;in0initial;in4initial;in3initial;in7initial;in1initial;in2final;in6final;in5final;in0final;in4final;in3final;in7final;in1final;in2time;in6time;in5time;in0time;in4time;in3time;in7time;in1time;in2count;in6count;in5count;in0count;in4count;in3count;in7count;in1count;in2imp;in6imp;in5imp;in0imp;in4imp;in3imp;in7imp;in1imp
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7201560;3480987;15213681;141831;2007981;6100801;5511784;1049454;1.5948009491;4.80832886696;4.48556208611;2.85680389404;4.61487412453;2.20703101158;8.88990497589;2.81000590324;54;551;560;61;688;311;1210;167;1.86593654708;8.19783239639;5.51300727286;3.9397451897;16.6530963191;2.75400672797;24.4553014051;8.26219729497
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7199400;3383025;15321449;155164;2000171;5949585;5626586;1084456;2.57602095604;5.33247208595;4.33954787254;2.96657013893;4.43626213074;3.35501718521;9.51139187813;2.80936598778;79;673;510;63;625;351;1237;94;1.8664963747;8.43521641135;5.47422988518;3.60120904333;16.7181211006;2.82400318678;23.9563278692;7.99552586735
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7429586;3426742;15022057;139356;2002108;6304691;5522703;1011923;2.93255186081;4.91113901138;4.80672502518;2.61191105843;4.28822302818;3.31823992729;9.60546088219;2.89849710464;103;664;608;52;630;230;1327;96;1.80866793924;8.32760330366;5.58333216283;4.00971612274;16.7019466482;2.66494376965;24.4069505458;8.5686321983
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7205618;3371470;15267802;164486;1985364;6202732;5618482;1023980;2.75363111496;4.90989494324;4.83406615257;2.57515001297;4.43086314201;3.52814698219;8.81272292137;2.59004616737;77;561;605;49;676;289;1258;142;1.86488570446;8.46412633065;5.49346487464;3.39711586396;16.8428061554;2.70874946717;23.9908820568;8.46773960429
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7174204;3426623;15205446;148099;1957268;6095606;5506936;1031740;2.56116008759;5.17860603333;4.86607408524;3.08576798439;4.71360683441;3.01191115379;8.90505814552;3.09388399124;106;598;627;76;732;285;1203;165;1.87305156084;8.32789250524;5.51599301987;3.77300319381;17.0845796283;2.75635383914;24.4768304916;8.4040514083
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7199748;3452659;15027280;138623;1987166;6220507;5603771;1002425;2.84419703484;4.21950888634;4.17004394531;2.86214709282;4.42316007614;3.29877996445;9.38751578331;2.87141895294;77;466;518;55;571;255;1268;138;1.86640615755;8.26509307754;5.58139157585;4.03091839017;16.8275327778;2.70100925857;24.0538628363;8.64982018605
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7414922;3447156;15079407;136546;2042449;6220670;5588176;1096392;2.7654800415;5.2655069828;3.98985290527;2.86585497856;3.92307186127;3.40967202187;8.71053195;2.97133588791;106;659;495;76;640;254;1236;92;1.812244822;8.27828737661;5.56209763421;4.0922326542;16.3720616769;2.70093848412;24.1209902838;7.90848163795
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7138663;3407181;15071463;134879;1980184;6084957;5525613;1034629;3.05794620514;5.38594794273;4.12117815018;3.23165798187;4.61712598801;2.96511483192;8.81175494194;2.88151097298;127;661;528;106;676;248;1158;105;1.88237685404;8.37541298804;5.56502935382;4.14280948109;16.886865564;2.76117760569;24.3940969083;8.38058473134
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7175502;3450106;15112658;140729;1990220;6286355;5582723;1009868;1.98234796524;3.57529187202;3.99626588821;2.88725304604;4.43984508514;3.12779307365;8.46501302719;2.67829704285;146;504;495;71;625;150;1278;120;1.87271273843;8.2712090585;5.5498598592;3.97059596814;16.8017108661;2.67271686057;24.1445507864;8.58606867432
13437654;28536548;83873134;558778;33439101;16801647;134792339;8670796;7419984;3431398;15482268;151706;2010219;6053526;5581866;1005471;2.74931097031;4.35009288788;4.70025110245;2.89885592461;4.11899018288;3.24569892883;9.15165185928;3.08813095093;114;546;570;58;624;307;1257;151;1.81100848735;8.31630373393;5.41736740379;3.68329532121;16.6345562349;2.77551413837;24.148257769;8.62361619579
